ACR,ACFT_ID,ENGINE,%,MOST_FREQ
DO28,DO28-A,FOCA-3,100,*
DOVE,DOVE-A,FOCA-14,100,*
DR10,DR10-A,FOCA-5,100,*
DR22,DR22-A,FOCA-12,100,*
DR30,DR30-A,FOCA-7,100,*
DR40,DR40-A,FOCA-7,100,*
DT45,DT45-A,FOI-10,100,*
DTA1,DTA1-A,FOCA-9,100,*
DV20,DV20-A,FOCA-13,100,*
E110,E110-A,FOI-21,100,*
E120,E120-A,FOI-60,100,*
E120,E120-B,FOI-61,0,
E121,E121-A,PT6A-28,90.57,*
E121,E121-B,FOI-16,9.43,
E135,E135-A,01P06AL034,100,*
E145,E145-A,4AL003,41.68,*
E145,E145-B,01P06AL028,58.32,
E145,E145-C,01P06AL034,0,
E170,E170-A,01P08GE197,100,*
E190,E190-A,CF34-10E,100,*
E195,E195-A,11GE144,100,*
E195,E195-B,CF34-10E,0,
E290,E290-A,01P20PW187,100,*
E295,E295-A,01P20PW187,100,*
E300,E300-A,FOCA-4,100,*
E314,E314-A,FOI-47,100,*
E35L,E35L-A,01P06AL034,99.54,*
E35L,E35L-B,01P10AL033,0.46,
E390,E390-A,01P14IA026,100,*
E400,E400-A,FOCA-4,100,*
E500,E500-A,FOCA-8,100,*
E50P,E50P-A,PW610F,100,*
E530,E530-A,1AS001,100,*
E545,E545-A,01P14HN016,100,*
E550,E550-A,01P14HN016,100,*
E55P,E55P-A,PW530,100,*
E55P,E55P-B,1AS001,0,
E737,E737-A,8CM051,100,*
E75L,E75L-A,01P08GE197,100,*
E75S,E75S-A,01P08GE197,100,*
EA40,EA40-A,1PW035,100,*
EA50,EA50-A,PW610F,100,*
EC20,EC20-A,FOI-88,100,*
EC25,EC25-A,FOI-52,100,*
EC30,EC30-A,FOI-54,100,*
EC35,EC35-A,FOI-86,100,*
EC45,EC45-A,FOI-51,100,*
EC55,EC55-A,FOI-59,100,*
EC75,EC75-A,FOI-52,100,*
ECHO,ECHO-A,FOCA-11,100,*
EDGE,EDGE-A,FOCA-14,100,*
EGRT,EGRT-A,FOI-108,100,*
EM10,EM10-A,1PW037,100,*
EN28,EN28-A,FOCA-15,100,*
EPIC,EPIC-A,FOI-43,100,*
ERCO,ERCO-A,FOCA-10,100,*
EUPA,EUPA-A,FOCA-11,100,*
EV97,EV97-A,FOCA-11,100,*
EVOP,EVOP-A,FOCA-3,100,*
EVOT,EVOT-A,FOI-16,100,*
EVSS,EVSS-A,FOCA-11,100,*
EXPL,EXPL-A,FOI-89,100,*
EXPR,EXPR-A,FOCA-3,100,*
F100,F100-A,3RR031,87.83,*
F100,F100-B,1RR020,12.17,
F104,F104-A,8RR043,100,*
F18H,F18H-A,8RR043,100,*
F2,F2-A,01P11BR016,100,*
F22,F22-A,8CM051,100,*
F26T,F26T-A,FOI-11,100,*
F27,F27-A,FOI-9,100,*
F28,F28-A,4RR035,100,*
F2TH,F2TH-A,CF700-2D,35.91,
F2TH,F2TH-B,01P07PW146,64.09,*
F35,F35-A,1IA004,100,*
F406,F406-A,FOI-12,100,*
F50,F50-A,FOI-75,100,*
F50,F50-B,FOI-78,0,
F600,F600-A,FOI-11,100,*
F70,F70-A,1RR020,100,*
F8L,F8L-A,FOCA-6,100,*
F900,F900-A,1AS002,100,*
FA10,FA10-A,1AS001,100,*
FA20,FA20-A,1AS002,99.75,*
FA20,FA20-B,CF700-2D,0.25,
FA24,FA24-A,FOCA-2,100,*
FA50,FA50-A,1AS002,100,*
FA5X,FA5X-A,01P22PW141,100,*
FA6X,FA6X-A,01P22PW141,100,*
FA7X,FA7X-A,01P16PW143,100,*
FA8X,FA8X-A,01P15PW144,100,*
FAET,FAET-A,FOCA-12,100,*
FANT,FANT-A,FOI-19,100,*
FBA2,FBA2-A,FOCA-8,100,*
FDCT,FDCT-A,FOCA-11,100,*
G109,G109-A,FOCA-11,100,*
G115,G115-A,FOCA-7,100,*
G120,G120-A,FOCA-3,100,*
G12T,G12T-A,FOI-11,100,*
G140,G140-A,FOI-11,100,*
G150,G150-A,1AS002,100,*
G159,G159-A,FOI-9,100,*
G180,G180-A,1AS001,100,*
G200,G200-A,FOCA-2,100,*
G21,G21-A,FOCA-19,100,*
G21T,G21T-A,PT6A-27,100,*
G250,G250-A,7PW077,100,*
G280,G280-A,01P11HN012,100,*
G3,G3-A,FOCA-11,100,*
G73,G73-A,FOI-21,100,*
GA20,GA20-A,FOCA-3,100,*
GA5C,GA5C-A,01P22PW141,100,*
GA6C,GA6C-A,01P22PW142,100,*
GA7,GA7-A,FOCA-6,100,*
GA8,GA8-A,FOCA-14,69.26,*
GA8,GA8-B,FOCA-3,30.74,
GALX,GALX-A,7PW077,100,*
GC1,GC1-A,FOCA-12,100,*
GFLY,GFLY-A,1PW035,100,*
GL5T,GL5T-A,01P04BR013,100,*
GL7T,GL7T-A,01P04BR013,100,*
GLAS,GLAS-A,FOCA-2,100,*
GLEX,GLEX-A,01P04BR013,100,*
GLF2,GLF2-A,8RR043,100,*
GLF3,GLF3-A,8RR043,100,*
GLF4,GLF4-A,11RR048,100,*
GLF5,GLF5-A,4BR008,100,*
GLF6,GLF6-A,01P11BR016,100,*
GLSP,GLSP-A,FOCA-6,100,*
GLST,GLST-A,FOCA-6,100,*
GM17,GM17-A,FOI-14,100,*
GNAT,GNAT-A,1AS002,100,*
GOLF,GOLF-A,FOCA-11,100,*
GP4,GP4-A,FOCA-2,100,*
GSPN,GSPN-A,1AS001,55.56,*
GSPN,GSPN-B,1PW036,44.44,
GX,GX-A,FOCA-11,100,*
GY80,GY80-A,FOCA-7,100,*
H111,H111-A,FOCA-20,100,*
H2,H2-A,FOI-52,100,*
H25A,H25A-A,1AS002,100,*
H25B,H25B-A,1AS002,100,*
H25C,H25C-A,PW307B,100,*
H269,H269-A,FOCA-2,100,*
H500,H500-A,FOI-87,100,*
HA4T,HA4T-A,01P07PW145,100,*
HDJT,HDJT-A,1AS001,100,*
HERN,HERN-A,FOCA-3,100,*
HR10,HR10-A,FOCA-4,100,*
HR20,HR20-A,FOCA-12,100,*
HU2,HU2-A,FOCA-10,100,*
HUCO,HUCO-A,FOI-52,100,*
HUNT,HUNT-A,1RR018,100,*
HUSK,HUSK-A,FOCA-7,100,*
I114,I114-A,FOI-75,100,*
I23,I23-A,FOCA-7,100,*
IL14,IL14-A,FOCA-14,100,*
IL18,IL18-A,FOI-5,100,*
IL62,IL62-A,1AA003,100,*
IL76,IL76-A,1AA002,83.13,*
IL76,IL76-B,13AA006,16.87,
IL86,IL86-A,1KK003,100,*
IL96,IL96-A,13AA006,99.99,*
IL96,IL96-B,4PW072,0.01,
IMPU,IMPU-A,FOCA-10,100,*
IR23,IR23-A,FOCA-3,100,*
IS28,IS28-A,FOCA-9,100,*
J328,J328-A,7PW078,100,*
JAB4,JAB4-A,FOCA-12,100,*
JABI,JABI-A,FOCA-12,100,*
JCOM,JCOM-A,1AS002,100,*
JPRO,JPRO-A,1PW036,100,*
JS1,JS1-A,FOI-101,100,*
JS31,JS31-A,FOI-102,69.51,*
JS31,JS31-B,FOI-100,25.67,
