oid,profile_id,arrival_departure,stage,point,weight_lbs,horizontal_feet,vertical_feet,tas_knots,weight_kgs,horizontal_metres,vertical_metres,tas_metres,power,mode,course
301,A320-232-EXTEND_LEV,A,5,83,130954.50010981722,2316.510006901311,0.0,64.14322638982921,59399.962066977256,706.0722501035197,0.0,32.998126464989916,5300.0,AP,IMPACT trajectory
302,A320-232-EXTEND_LEV,A,5,84,130954.50010981722,2601.110420979986,0.0,47.183891663722534,59399.962066977256,792.8184563146998,0.0,24.273490933670594,3975.0,AP,IMPACT trajectory
303,A320-232-EXTEND_LEV,A,5,85,130954.50010981722,2799.0,0.0,30.22455693761586,59399.962066977256,853.1352,0.0,15.54885540235127,2650.0,AP,IMPACT trajectory
219,A320-232-DEFAULT,D,5,1,172000.00014423762,0.0,0.0,0.0,78017.88770542508,0.0,0.0,0.0,24807.403,TO,IMPACT trajectory
220,A320-232-DEFAULT,D,5,2,172000.00014423762,68.9024311383779,0.0,18.369524556898806,78017.88770542508,21.001461010977586,0.0,9.450099855382385,24347.067453285646,TO,IMPACT trajectory
221,A320-232-DEFAULT,D,5,3,172000.00014423762,275.6097245535116,0.0,36.73904911379761,78017.88770542508,84.00584404391034,0.0,18.90019971076477,23886.731906571295,TO,IMPACT trajectory
222,A320-232-DEFAULT,D,5,4,172000.00014423762,620.1218802454011,0.0,55.108573670696416,78017.88770542508,189.01314909879827,0.0,28.350299566147154,23426.396359856943,TO,IMPACT trajectory
223,A320-232-DEFAULT,D,5,5,172000.00014423762,1102.4388982140465,0.0,73.47809822759523,78017.88770542508,336.0233761756414,0.0,37.80039942152954,22966.06081314259,TO,IMPACT trajectory
224,A320-232-DEFAULT,D,5,6,172000.00014423762,1722.5607784594476,0.0,91.84762278449404,78017.88770542508,525.0365252744397,0.0,47.25049927691193,22505.725266428235,TO,IMPACT trajectory
225,A320-232-DEFAULT,D,5,7,172000.00014423762,2480.4875209816046,0.0,110.21714734139285,78017.88770542508,756.0525963951931,0.0,56.700599132294315,22045.389719713883,TO,IMPACT trajectory
226,A320-232-DEFAULT,D,5,8,172000.00014423762,3376.2191257805175,0.0,128.58667189829166,78017.88770542508,1029.071589537902,0.0,66.1506989876767,21585.05417299953,TO,IMPACT trajectory
227,A320-232-DEFAULT,D,5,9,172000.00014423762,4409.755592856186,0.0,146.95619645519045,78017.88770542508,1344.0935047025655,0.0,75.60079884305908,21124.71862628518,TO,IMPACT trajectory
228,A320-232-DEFAULT,D,5,10,172000.00014423762,5581.0969222086105,0.0,165.32572101208925,78017.88770542508,1701.1183418891846,0.0,85.05089869844147,20664.383079570827,TO,IMPACT trajectory
229,A320-232-DEFAULT,D,5,11,172000.00014423762,5912.477747450169,56.41492265696088,165.46511578260788,78017.88770542508,1802.1232174228116,17.19526842584168,85.1226095637194,20682.4025110981,TO,IMPACT trajectory
230,A320-232-DEFAULT,D,5,12,172000.00014423762,6307.996796932029,123.7488626023658,165.63133661573275,78017.88770542508,1922.6774237048824,37.718653321201096,85.20812094787141,20703.889044612875,TO,IMPACT trajectory
231,A320-232-DEFAULT,D,5,13,172000.00014423762,6778.343774694241,203.82165605095545,165.8287877557768,78017.88770542508,2066.039182526805,62.124840764331225,85.3096985899163,20729.41160788382,TO,IMPACT trajectory
232,A320-232-DEFAULT,D,5,14,172000.00014423762,7371.622348917031,304.82256596906274,166.0775106412484,78017.88770542508,2246.870491949911,92.90991810737033,85.43765269655334,20761.560093593987,TO,IMPACT trajectory
233,A320-232-DEFAULT,D,5,15,172000.00014423762,8168.005299900777,440.400363967243,166.41079747139847,78017.88770542508,2489.6080154097567,134.23403093721566,85.60911025473054,20804.63626851246,TO,IMPACT trajectory
234,A320-232-DEFAULT,D,5,16,172000.00014423762,9349.21759632633,641.4922656960873,166.90391002491725,78017.88770542508,2849.6415233602656,195.5268425841674,85.8627892683741,20868.36402842193,TO,IMPACT trajectory
235,A320-232-DEFAULT,D,5,17,172000.00014423762,11455.089292216237,1000.0,167.77943870800357,78017.88770542508,3491.511216267509,304.8,86.31320013533961,20981.49807957083,TO,IMPACT trajectory
236,A320-232-DEFAULT,D,5,18,172000.00014423762,13675.217471920412,1109.756018135755,184.11422342729463,78017.88770542508,4168.206285441342,338.2536343277782,94.71653938537492,20627.16343806684,TO,IMPACT trajectory
237,A320-232-DEFAULT,D,5,19,172000.00014423762,16101.460849293344,1229.701710714722,200.44900814658573,78017.88770542508,4907.7252668646115,374.81308142584726,103.11987863541022,20272.828796562848,TO,IMPACT trajectory
238,A320-232-DEFAULT,D,5,20,172000.00014423762,18733.81942433503,1359.8370777369014,216.7837928658768,78017.88770542508,5710.068160537317,414.47834129420755,111.5232178854455,19918.49415505886,TO,IMPACT trajectory
