oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
68,HDV,Diesel 7.5-16t,EURO II,0.0,0.0,0.0,18.0174,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
69,HDV,Diesel 7.5-16t,EURO III,0.0,0.0,0.0,12.6118,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
70,HDV,Diesel 7.5-16t,EURO IV,0.0,0.0,0.0,9.197,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
71,HDV,Diesel 16-32t,Conventional,0.0,0.0,0.0,37.28,-0.6945,0.0,0,0,0.88,0.0,0.0,0.0,0,0,0,0,0,NULL
72,HDV,Diesel 16-32t,EURO I,0.0,0.0,0.0,22.368,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
73,HDV,Diesel 16-32t,EURO II,0.0,0.0,0.0,19.8814,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
74,HDV,Diesel 16-32t,EURO III,0.0,0.0,0.0,13.9166,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
75,HDV,Diesel 16-32t,EURO IV,0.0,0.0,0.0,10.1513,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
76,HDV,Diesel >32t,Conventional,0.0,0.0,0.0,37.28,-0.6945,0.0,0,0,0.88,0.0,0.0,0.0,0,0,0,0,0,NULL
77,HDV,Diesel >32t,EURO I,0.0,0.0,0.0,22.368,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
78,HDV,Diesel >32t,EURO II,0.0,0.0,0.0,19.8814,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
79,HDV,Diesel >32t,EURO III,0.0,0.0,0.0,13.9166,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
80,HDV,Diesel >32t,EURO IV,0.0,0.0,0.0,10.1513,-0.6945,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
81,HDV,Urban Buses,Conventional,0.0,0.0,0.0,59.003,-0.7447,0.0,0,0,0.895,0.0,0.0,0.0,0,0,0,0,0,NULL
82,HDV,Urban Buses,EURO I,0.0,0.0,0.0,32.4517,-0.7447,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
83,HDV,Urban Buses,EURO II,0.0,0.0,0.0,28.5161,-0.7447,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
84,HDV,Urban Buses,EURO III,0.0,0.0,0.0,10.9784,-0.7447,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
85,HDV,Urban Buses,EURO IV,0.0,0.0,0.0,14.556,-0.7447,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
86,HDV,Coaches,Conventional,0.0,0.0,0.0,63.791,-0.8393,0.0,0,0,0.978,0.0,0.0,0.0,0,0,0,0,0,0.073
87,HDV,Coaches,EURO I,0.0,0.0,0.0,38.2746,-0.8393,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
88,HDV,Coaches,EURO II,0.0,0.0,0.0,34.0197,-0.8393,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
89,HDV,Coaches,EURO III,0.0,0.0,0.0,23.8132,-0.8393,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
90,HDV,Coaches,EURO IV,0.0,0.0,0.0,17.3703,-0.8393,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
91,MOT,Mopeds <50cc,Conventional,15.0,0.0,0.0,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
92,MOT,Mopeds <50cc,Stage I,7.5,0.0,0.0,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
93,MOT,Mopeds <50cc,Stage II,1.5,0.0,0.0,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
