9,CYHU,MontrealStHubert,CA,45.5175,-73.4169444444,90
10,CYHY,HayRiver,CA,60.8397222222,-115.782777778,543
11,CYHZ,HalifaxIntl,CA,44.8808333333,-63.5086111111,477
12,CYIB,AtikokanMuni,CA,48.7738888889,-91.6386111111,1408
13,CYID,Digby,CA,44.5455555556,-65.7888888889,499
14,CYIF,StAugustin,CA,51.2116666667,-58.6583333333,20
15,CYIK,Ivujivik,CA,62.4172222222,-77.9252777778,139
16,CYIO,PondInlet,CA,72.6833333333,-77.9666666667,181
17,CYJM,FortStJames,CA,54.3972222222,-124.262777778,2364
18,CYJN,StJean,CA,45.2944444444,-73.2811111111,136
19,CYJT,Stephenville,CA,48.5441666667,-58.55,84
20,CYKA,Kamloops,CA,50.7022222222,-120.441944444,1133
21,CYKD,Aklavik,CA,68.2233333333,-135.005833333,21
22,CYKF,KitchenerWaterlooRgnl,CA,43.4588888889,-80.3844444444,1040
23,CYKL,Schefferville,CA,54.8052777778,-66.8052777778,1709
24,CYKO,Akulivik,CA,60.8186111111,-78.1486138889,66
25,CYKX,KirklandLake,CA,48.2102777778,-79.9813888889,1157
26,CYKY,Kindersley,CA,51.5175,-109.180833333,2277
27,CYKZ,TorontoButtonvilleMuni,CA,43.8622222222,-79.37,650
28,CYLB,LacLaBiche,CA,54.7702777778,-112.031666667,1884
29,CYLD,Chapleau,CA,47.82,-83.3466638889,1465
30,CYLJ,MeadowLake,CA,54.1252777778,-108.522777778,1576
31,CYLL,Lloydminster,CA,53.3091666667,-110.0725,2194
32,CYLQ,LaTuque,CA,47.4097222222,-72.7888888889,548
33,CYLR,LeafRapids,CA,56.5133333333,-99.9852777778,959
34,CYLT,Alert,CA,82.517775,-62.2805555556,100
35,CYLW,Kelowna,CA,49.9561111111,-119.377777778,1409
36,CYMA,Mayo,CA,63.6166666667,-135.866666667,1653
37,CYME,Matane,CA,48.8569444444,-67.4533333333,102
38,CYMG,Manitouwadge,CA,49.0838888889,-85.8605555556,1198
39,CYMJ,MooseJaw,CA,50.3302777778,-105.559166667,1892
40,CYML,Charlevoix,CA,47.5975,-70.2238916667,977
41,CYMM,FortMcmurray,CA,56.6533333333,-111.221944444,1211
42,CYMO,Moosonee,CA,51.2911111111,-80.6077777778,30
43,CYMT,ChibougamauChapais,CA,49.7716666667,-74.5275,1270
44,CYMW,Maniwaki,CA,46.2744444444,-75.99,659
45,CYMX,MontrealMirabelIntl,CA,45.6797222222,-74.0386111111,270
46,CYMY,EarFalls,CA,50.7177777778,-93.3836111111,1269
47,CYNA,Natashquan,CA,50.1897222222,-61.7891666667,35
48,CYND,Gatineau,CA,45.5213888889,-75.5641666667,211
49,CYNH,HudsonsHope,CA,56.0355555556,-121.975833333,2220
50,CYNM,Matagami,CA,49.7616666667,-77.8027777778,918
51,CYOC,OldCrow,CA,67.5705555556,-139.839166667,824
52,CYOD,ColdLake,CA,54.405,-110.279444444,1775
53,CYOJ,HighLevel,CA,58.6213888889,-117.164722222,1110
54,CYOO,Oshawa,CA,43.9227777778,-78.895,459
55,CYOP,RainbowLake,CA,58.4913888889,-119.408333333,1759
56,CYOS,OwenSoundBillyBishopR,CA,44.5902777778,-80.8375027778,1007
57,CYOW,OttawaMacdonaldCartier,CA,45.3225,-75.6691666667,374
58,CYPA,PrinceAlbertGlassField,CA,53.2141666667,-105.672777778,1405
59,CYPC,Paulatuk,CA,69.3611111111,-124.058611111,18
60,CYPD,PortHawkesbury,CA,45.6566666667,-61.3680555556,377
61,CYPE,PeaceRiver,CA,56.2269444444,-117.447222222,1873
62,CYPG,Southport,CA,49.9027777778,-98.2747222222,885
63,CYPK,PittMeadows,CA,49.2161111111,-122.71,11
64,CYPL,PickleLake,CA,51.4463888889,-90.2141666667,1267
65,CYPN,PortMenier,CA,49.8363888889,-64.2886111111,167
66,CYPQ,Peterborough,CA,44.23,-78.3633333333,628
67,CYPR,PrinceRupert,CA,54.2861111111,-130.444722222,116
68,CYPS,Pemberton,CA,50.3025,-122.737777778,670
69,CYPT,PeleeIsland,CA,41.7783333333,-82.6780555556,571
70,CYPU,PuntziMountain,CA,52.1127777778,-124.143611111,2985
71,CYPW,PowellRiver,CA,49.8341666667,-124.5,425
72,CYPX,Puvirnituq,CA,60.0505555556,-77.2869444444,76
182,CYPY,FortChipewyan,CA,58.7672222222,-111.117222222,761
183,CYPZ,BurnsLake,CA,54.3763888889,-125.951388889,2343
184,CYQA,Muskoka,CA,44.9747222222,-79.3033333333,925
185,CYQB,QuebecJeanLesageIntl,CA,46.7883888889,-71.3975833333,244
186,CYQD,ThePas,CA,53.9719444444,-101.091944444,887
187,CYQF,RedDeerRegional,CA,52.1786111111,-113.893055556,2968
188,CYQG,Windsor,CA,42.2747222222,-82.9583333333,622
189,CYQH,WatsonLake,CA,60.1177777778,-128.821944444,2255
190,CYQI,Yarmouth,CA,43.8269444444,-66.0880555556,141
191,CYQK,Kenora,CA,49.7883333333,-94.3630555556,1332
192,CYQL,Lethbridge,CA,49.6302777778,-112.799722222,3047
193,CYQM,Moncton,CA,46.1122222222,-64.6786111111,232
194,CYQN,Nakina,CA,50.1827777778,-86.6963888889,1057
195,CYQQ,Comox,CA,49.7108333333,-124.886666667,84
196,CYQR,Regina,CA,50.4319444444,-104.665833333,1894
197,CYQS,SaintThomasMuni,CA,42.77,-81.1108333333,776
198,CYQT,ThunderBay,CA,48.3719444444,-89.3238888889,653
199,CYQU,GrandePrairie,CA,55.1797222222,-118.885,2195
200,CYQV,Yorkton,CA,51.2647222222,-102.461666667,1635
201,CYQW,NorthBattleford,CA,52.7691666667,-108.243611111,1799
202,CYQX,GanderIntl,CA,48.9369444444,-54.5680555556,496
203,CYQY,Sydney,CA,46.1613888889,-60.0477777778,203
204,CYQZ,Quesnel,CA,53.0261111111,-122.51,1789
205,CYRB,ResoluteBay,CA,74.7169444444,-94.9694444444,215
206,CYRC,ChicoutimiStHonore,CA,48.5208333333,-71.0505555556,544
207,CYRI,RiviereDuLoup,CA,47.7644444444,-69.5847222222,427
208,CYRJ,Roberval,CA,48.52,-72.2655555556,586
209,CYRL,RedLake,CA,51.0669444444,-93.7930555556,1265
210,CYRM,RockyMountainHouse,CA,52.4297222222,-114.904166667,3242
211,CYRO,OttawaRockcliffe,CA,45.4602777778,-75.6461111111,188
212,CYRP,OttawaCarp,CA,45.3191666667,-76.0222222222,382
213,CYRQ,TroisRivieres,CA,46.3527777778,-72.6794444444,199
214,CYRT,RankinInlet,CA,62.8113888889,-92.1158333333,94
215,CYRV,Revelstoke,CA,50.9666666667,-118.183333333,1453
216,CYSB,Sudbury,CA,46.625,-80.7988888889,1140
217,CYSC,Sherbrooke,CA,45.4380555556,-71.6905555556,792
218,CYSG,SaintGeorges,CA,46.0963888889,-70.7147222222,893
219,CYSH,SmithsFallsMontague,CA,44.9458333333,-75.9405555556,416
220,CYSJ,SaintJohn,CA,45.3161111111,-65.8902777778,357
221,CYSL,StLeonard,CA,47.1575,-67.8347222222,793
222,CYSM,FortSmith,CA,60.0222222222,-111.960277778,673
223,CYSN,StCatharinesNiagaraDis,CA,43.1916666667,-79.1716666667,321
224,CYSP,Marathon,CA,48.7552777778,-86.3444444444,1035
225,CYSR,Nanisivik,CA,72.9822222222,-84.6136111111,2106
226,CYSU,Summerside,CA,46.4391666667,-63.8313888889,64
227,CYSW,SparwoodElkValley,CA,49.8333333333,-114.883333333,3800
228,CYSY,SachsHarbour,CA,71.9938888889,-125.2425,281
229,CYSZ,SteAnneDesMonts,CA,49.1202777778,-66.5291666667,71
230,CYTA,Pembroke,CA,45.8644444444,-77.2516666667,529
231,CYTE,CapeDorset,CA,64.23,-76.5266666667,164
232,CYTF,Alma,CA,48.5088888889,-71.6419444444,445
233,CYTH,Thompson,CA,55.8011111111,-97.8641666667,729
234,CYTJ,TerraceBay,CA,48.8133333333,-87.0994444444,950
235,CYTN,Trenton,CA,45.6119444444,-62.6211111111,319
236,CYTR,Trenton,CA,44.1188888889,-77.5280555556,283
237,CYTS,Timmins,CA,48.5697222222,-81.3766666667,967
238,CYTZ,TorontoCityCentre,CA,43.6275,-79.3961111111,251
239,CYUB,Tuktoyaktuk,CA,69.4333333333,-133.026388889,15
240,CYUL,MontrealIntlDorval,CA,45.4680555556,-73.7413888889,117
241,CYUT,RepulseBay,CA,66.5213888889,-86.2247222222,80
242,CYUX,HallBeach,CA,68.7761111111,-81.2436111111,27
243,CYUY,RouynNoranda,CA,48.2061111111,-78.8355555556,988
244,CYVB,Bonaventure,CA,48.0711111111,-65.4602777778,123
245,CYVC,LaRonge,CA,55.1513888889,-105.261944444,1242
246,CYVG,Vermilion,CA,53.3558333333,-110.823888889,2025
247,CYVK,Vernon,CA,50.2480555556,-119.330555556,1140
248,CYVM,Qikiqtarjuaq,CA,67.5458333333,-64.0313888889,21
249,CYVO,ValDOr,CA,48.0533333333,-77.7827777778,1107
250,CYVP,Kuujjuaq,CA,58.0961111111,-68.4269444444,129
251,CYVQ,NormanWells,CA,65.2825,-126.800277778,241
252,CYVR,VancouverIntl,CA,49.195,-123.181944444,14
253,CYVT,BuffaloNarrows,CA,55.8419444444,-108.4175,1444
254,CYVV,Wiarton,CA,44.7458333333,-81.1072222222,729
255,CYWA,Petawawa,CA,45.9522222222,-77.3191666667,427
256,CYWG,WinnipegIntl,CA,49.91,-97.2344444444,783
257,CYWJ,Deline,CA,65.2105555556,-123.435833333,698
258,CYWK,Wabush,CA,52.9219444444,-66.8644444444,1806
259,CYWL,WilliamsLake,CA,52.1830555556,-122.054166667,3085
260,CYWM,Athabasca,CA,54.7430555556,-113.203888889,1971
261,CYWV,Wainwright,CA,52.7958333333,-110.8575,2230
262,CYWY,Wrigley,CA,63.2094444444,-123.436666667,493
263,CYXC,Cranbrook,CA,49.6102777778,-115.7825,3082
264,CYXD,EdmontonCityCentre,CA,53.5725,-113.520555556,2200
265,CYXE,SaskatoonJGDiefenbaker,CA,52.1708333333,-106.699722222,1653
266,CYXH,MedicineHat,CA,50.0188888889,-110.720833333,2352
267,CYXJ,FortStJohn,CA,56.2380555556,-120.740277778,2280
268,CYXK,Rimouski,CA,48.4780555556,-68.4969444444,82
269,CYXL,SiouxLookout,CA,50.1144444444,-91.9041666667,1280
270,CYXP,Pangnirtung,CA,66.145,-65.7136111111,74
271,CYXR,Earlton,CA,47.695,-79.8488888889,798
272,CYXS,PrinceGeorge,CA,53.8894444444,-122.678888889,2267
273,CYXT,Terrace,CA,54.4663888889,-128.5775,713
274,CYXU,London,CA,43.0355555556,-81.1538888889,912
275,CYXX,Abbotsford,CA,49.0252777778,-122.363333333,190
276,CYXY,WhitehorseIntl,CA,60.7094444444,-135.068333333,2317
277,CYXZ,Wawa,CA,47.9666666667,-84.7866666667,942
278,CYYB,NorthBay,CA,46.3636111111,-79.4227777778,1215
279,CYYC,CalgaryIntl,CA,51.1138888889,-114.020277778,3557
280,CYYD,Smithers,CA,54.8247222222,-127.182777778,1712
281,CYYE,FortNelson,CA,58.8363888889,-122.597222222,1253
282,CYYF,Penticton,CA,49.4630555556,-119.601666667,1129
283,CYYG,Charlottetown,CA,46.29,-63.1211138889,160
284,CYYH,Taloyoak,CA,69.5466666667,-93.5766666667,92
285,CYYJ,VictoriaIntl,CA,48.6469444444,-123.425833333,63
286,CYYL,LynnLake,CA,56.8638888889,-101.076111111,1170
287,CYYN,SwiftCurrent,CA,50.2919444444,-107.690555556,2680
288,CYYO,Wynyard,CA,51.8091666667,-104.169166667,1740
289,CYYQ,Churchill,CA,58.7391666667,-94.065,94
