oid,engine_type,engine_full_name,engine_name,thrust,mode,fuel_kg_sec,co_ei,hc_ei,nox_ei,sox_ei,pm10_ei,p1_ei,p2_ei,smoke_number,smoke_number_maximum,fuel_type,manufacturer,source,remark,status,engine_name_type,coolant,combustion_technology,technology_age,pm10_prefoa3,pm10_nonvol,pm10_sul,pm10_organic,eng_type,bpr,nvpm_ei,nvpm_number_ei
55,J,AE3007A1/3,6AL013,0.3,AP,0.1077,7.62,0.03,6.93,1,489.6000000000001,15.208017499999999,15.208017499999999,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 3 (reduced emissions),,,,,,,,MTF,4.81,15.20633,766884163175195.9
56,J,AE3007A1/3,6AL013,0.07,TX,0.0449,38.47,3.81,4.27,1,489.6000000000001,15.2298377,15.2298377,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1/3Type 3 (reduced emissions),,,,,,,,MTF,4.81,15.20633,766884163175195.9
57,J,AE3007A1P,6AL014,1.0,TO,0.3806,0.77,0.222,19.57,1,489.6000000000001,15.14046,15.14046,1.0,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
58,J,AE3007A1P,6AL014,0.85,CL,0.3163,0.97,0.258,16.56,1,489.6000000000001,15.134538,15.134538,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
59,J,AE3007A1P,6AL014,0.3,AP,0.1126,3.93,0.658,7.07,1,489.6000000000001,15.151942499999999,15.151942499999999,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
60,J,AE3007A1P,6AL014,0.07,TX,0.046,23.8,3.85,3.47,1,489.6000000000001,15.1386845,15.1386845,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 1,,,,,,,,MTF,4.77,15.11493,762274917042179.4
61,J,AE3007A1P,6AL015,1.0,TO,0.3806,0.0,0.0,22.02,1,489.6000000000001,15.11493,15.11493,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 2,,,,,,,,MTF,4.77,15.11493,762274917042179.4
62,J,AE3007A1P,6AL015,0.85,CL,0.3163,0.0,0.0,19.16,1,489.6000000000001,15.11493,15.11493,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 2,,,,,,,,MTF,4.77,15.11493,762274917042179.4
63,J,AE3007A1P,6AL015,0.3,AP,0.1126,1.51,0.19,6.89,1,489.6000000000001,15.125617499999999,15.125617499999999,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 2,,,,,,,,MTF,4.77,15.11493,762274917042179.4
64,J,AE3007A1P,6AL015,0.07,TX,0.046,32.68,5.06,3.19,1,489.6000000000001,15.1461502,15.1461502,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 2,,,,,,,,MTF,4.77,15.11493,762274917042179.4
65,J,AE3007A1P,6AL016,1.0,TO,0.3806,0.74,0.03,16.1,1,489.6000000000001,15.11838,15.11838,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
66,J,AE3007A1P,6AL016,0.85,CL,0.3163,0.55,0.03,14.01,1,489.6000000000001,15.11721,15.11721,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
67,J,AE3007A1P,6AL016,0.3,AP,0.1126,6.79,0.03,7.12,1,489.6000000000001,15.116617499999998,15.116617499999998,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
68,J,AE3007A1P,6AL016,0.07,TX,0.046,39.97,3.86,4.17,1,489.6000000000001,15.1387462,15.1387462,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1PType 3 (reduced emissions),,,,,,,,MTF,4.77,15.11493,762274917042179.4
69,J,AE3007A2,10AL026,1.0,TO,0.466,0.71,0.0,18.61,1,489.6000000000001,15.16064,15.16064,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A2Type 3 (reduced emissions),,,,,,,,MTF,4.79,15.16064,764579931029438.6
70,J,AE3007A2,10AL026,0.85,CL,0.388,0.74,0.0,15.99,1,489.6000000000001,15.16064,15.16064,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A2Type 3 (reduced emissions),,,,,,,,MTF,4.79,15.16064,764579931029438.6
71,J,AE3007A2,10AL026,0.3,AP,0.138,4.08,0.0,7.9,1,489.6000000000001,15.16064,15.16064,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A2Type 3 (reduced emissions),,,,,,,,MTF,4.79,15.16064,764579931029438.6
