oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
53,LDV,Gasoline <3.5t,EURO III,0.1399,-0.0019,1.5855e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
54,LDV,Gasoline <3.5t,EURO IV,0.0666,-0.0009,7.55e-06,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
55,LDV,Diesel <3.5t,Conventional,5.1234,-0.1189,0.000816,0.0,0.0,0.0,0.0,0.0,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
56,LDV,Diesel <3.5t,EURO I,2.0247,-0.03191,0.000241,0.0,0.0,0.0,0.0,0.0,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
57,LDV,Diesel <3.5t,EURO II,2.0247,-0.03191,0.000241,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
58,LDV,Diesel <3.5t,EURO III,1.7007,-0.0268,0.00020244,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
59,LDV,Diesel <3.5t,EURO IV,1.3768,-0.0217,0.00016388,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
60,HDV,Gasoline >3.5t,Conventional,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
61,HDV,Diesel <7.5t,Conventional,0.0,0.0,0.0,50.305,-0.7708,0.0,0.0,0.0,0.902,7.5506,-0.1737,0.0014,0.0,0.0,0.0,0.0,0.0,0.26
62,HDV,Diesel <7.5t,EURO I,0.0,0.0,0.0,38.5688,-0.7708,0.0,0.0,0.0,NULL,5.789,-0.1332,0.0011,0.0,0.0,0.0,0.0,0.0,NULL
63,HDV,Diesel <7.5t,EURO II,0.0,0.0,0.0,28.5078,-0.7708,0.0,0.0,0.0,NULL,4.2789,-0.0984,0.00079338,0.0,0.0,0.0,0.0,0.0,NULL
64,HDV,Diesel <7.5t,EURO III,0.0,0.0,0.0,18.2758,-0.7708,0.0,0.0,0.0,NULL,2.7431,-0.0631,0.00050862,0.0,0.0,0.0,0.0,0.0,NULL
65,HDV,Diesel <7.5t,EURO IV,0.0,0.0,0.0,13.9511,-0.7708,0.0,0.0,0.0,NULL,2.0938,-0.0482,0.00038822,0.0,0.0,0.0,0.0,0.0,NULL
66,HDV,Diesel 7.5-16t,Conventional,0.0,0.0,0.0,92.584,-0.7393,0.0,0.0,0.0,0.94,7.7785,-0.0941,0.0006,0.0,0.0,0.0,0.0,0.0,0.44
67,HDV,Diesel 7.5-16t,EURO I,0.0,0.0,0.0,70.9842,-0.7393,0.0,0.0,0.0,NULL,5.9638,-0.0721,0.00046002,0.0,0.0,0.0,0.0,0.0,NULL
68,HDV,Diesel 7.5-16t,EURO II,0.0,0.0,0.0,52.4674,-0.7393,0.0,0.0,0.0,NULL,4.4081,-0.0533,0.00034002,0.0,0.0,0.0,0.0,0.0,NULL
69,HDV,Diesel 7.5-16t,EURO III,0.0,0.0,0.0,33.6358,-0.7393,0.0,0.0,0.0,NULL,2.8259,-0.0342,0.00021798,0.0,0.0,0.0,0.0,0.0,NULL
70,HDV,Diesel 7.5-16t,EURO IV,0.0,0.0,0.0,25.6763,-0.7393,0.0,0.0,0.0,NULL,2.157,-0.0261,0.00016638,0.0,0.0,0.0,0.0,0.0,NULL
71,HDV,Diesel 16-32t,Conventional,0.0,0.0,0.0,108.3,-0.6061,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
72,HDV,Diesel 16-32t,EURO I,0.0,0.0,0.0,61.3736,-0.6061,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
73,HDV,Diesel 16-32t,EURO II,0.0,0.0,0.0,46.9296,-0.6061,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
74,HDV,Diesel 16-32t,EURO III,0.0,0.0,0.0,32.8474,-0.6061,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
75,HDV,Diesel 16-32t,EURO IV,0.0,0.0,0.0,22.9596,-0.6061,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
76,HDV,Diesel >32t,Conventional,0.0,0.0,0.0,132.88,-0.5581,0.0,0.0,0.0,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
77,HDV,Diesel >32t,EURO I,0.0,0.0,0.0,75.3031,-0.5581,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
78,HDV,Diesel >32t,EURO II,0.0,0.0,0.0,57.5809,-0.5581,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
79,HDV,Diesel >32t,EURO III,0.0,0.0,0.0,40.3025,-0.5581,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
80,HDV,Diesel >32t,EURO IV,0.0,0.0,0.0,28.1706,-0.5581,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
81,HDV,Urban Buses,Conventional,0.0,0.0,0.0,89.174,-0.5185,0.0,0.0,0.0,0.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
82,HDV,Urban Buses,EURO I,0.0,0.0,0.0,68.3697,-0.5185,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
83,HDV,Urban Buses,EURO II,0.0,0.0,0.0,50.5349,-0.5185,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
84,HDV,Urban Buses,EURO III,0.0,0.0,0.0,35.3753,-0.5185,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
85,HDV,Urban Buses,EURO IV,0.0,0.0,0.0,24.728,-0.5185,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
86,HDV,Coaches,Conventional,0.0,0.0,0.0,125.87,-0.6562,0.0,0.0,0.0,0.848,14.308,-0.1608,0.001,0.0,0.0,0.0,0.0,0.0,0.073
87,HDV,Coaches,EURO I,0.0,0.0,0.0,71.3305,-0.6562,0.0,0.0,0.0,NULL,8.1083,-0.0911,0.0005667,0.0,0.0,0.0,0.0,0.0,NULL
88,HDV,Coaches,EURO II,0.0,0.0,0.0,54.5395,-0.6562,0.0,0.0,0.0,NULL,6.1997,-0.0697,0.0004333,0.0,0.0,0.0,0.0,0.0,NULL
89,HDV,Coaches,EURO III,0.0,0.0,0.0,38.1764,-0.6562,0.0,0.0,0.0,NULL,4.3396,-0.0488,0.0003033,0.0,0.0,0.0,0.0,0.0,NULL
90,HDV,Coaches,EURO IV,0.0,0.0,0.0,31.7192,-0.6562,0.0,0.0,0.0,NULL,3.6056,-0.0405,0.000252,0.0,0.0,0.0,0.0,0.0,NULL
91,MOT,Mopeds <50cc,Conventional,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
92,MOT,Mopeds <50cc,Stage I,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
93,MOT,Mopeds <50cc,Stage II,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
94,MOT,Mopeds >50cc,Conventional,0.064,-0.002,3e-05,0.0,0.0,0.0,0.0,0.0,NULL,-0.157,0.0049,-2e-05,0.0,0.0,0.0,0.0,0.0,NULL
95,MOT,Mopeds >50cc,97/24/EC,0.032,-0.001,2e-05,0.0,0.0,0.0,0.0,0.0,NULL,-0.157,0.0041,-2e-05,0.0,0.0,0.0,0.0,0.0,NULL
96,MOT,Bike >50cc,Conventional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
97,MOT,Bike >50cc,97/24/EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
98,MOT,Bike <250cc,Conventional,0.09,-0.001,5e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.102,0.0006,2e-05,0.0,0.0,0.0,0.0,0.0,NULL
99,MOT,Bike <250cc,97/24/EC,0.137,-0.0007,5e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.143,0.001,2e-05,0.0,0.0,0.0,0.0,0.0,NULL
100,MOT,Bike 250-750cc,Conventional,0.092,-0.0009,5e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.104,0.0007,0.0002,0.0,0.0,0.0,0.0,0.0,NULL
101,MOT,Bike 250-750cc,97/24/EC,0.137,-0.0007,5e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.143,0.001,2e-05,0.0,0.0,0.0,0.0,0.0,NULL
102,MOT,Bike >750cc,Conventional,0.1,-0.0008,5e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.112,0.0008,2e-05,0.0,0.0,0.0,0.0,0.0,NULL
103,MOT,Bike >750cc,97/24/EC,0.137,-0.0007,5e-05,0.0,0.0,0.0,0.0,0.0,NULL,0.143,0.001,2e-05,0.0,0.0,0.0,0.0,0.0,NULL
