stage,count,timestamp
process(),451,0.019002
process(),452,0.018993
process(),453,0.018001
process(),454,0.019003
process(),455,0.017997
process(),456,0.019006
process(),457,0.018997
process(),458,0.018
process(),459,0.019001
process(),460,0.018
process(),461,0.018001
process(),462,0.018995
process(),463,0.018002
process(),464,0.020001
process(),465,0.017997
process(),466,0.019001
process(),467,0.019006
process(),468,0.018999
process(),469,0.017997
process(),470,0.018001
process(),471,0.019004
process(),472,0.017991
process(),473,0.018003
process(),474,0.018998
process(),475,0.019
process(),476,0.018
process(),477,0.019001
process(),478,0.018002
process(),479,0.020001
process(),480,0.018999
process(),481,0.018001
process(),482,0.017999
process(),483,0.018998
process(),484,0.018999
process(),485,0.019
process(),486,0.017999
process(),487,0.019005
process(),488,0.018996
process(),489,0.017983
process(),490,0.019017
process(),491,0.019763
process(),492,0.015683
process(),493,0.015627
process(),494,0.015624
process(),495,0.015623
process(),496,0.03125
process(),497,0.015625
process(),498,0.015631
process(),499,0.015623
process(),500,0.015625
process(),501,0.015628
process(),502,0.032646
process(),503,0.015625
process(),504,0.015625
process(),505,0.015626
process(),506,0.015626
process(),507,0.015628
process(),508,0.031243
process(),509,0.015628
process(),510,0.015624
process(),511,0.015627
process(),512,0.031205
process(),513,0.015667
process(),514,0.03125
process(),515,0.015623
process(),516,0.031255
process(),517,0.015623
process(),518,0.015625
process(),519,0.015625
process(),520,0.031245
process(),521,0.015629
process(),522,0.015624
process(),523,0.015622
process(),524,0.031258
process(),525,0.015623
process(),526,0.015623
process(),527,0.015625
process(),528,0.015626
process(),529,0.031249
process(),530,0.015621
process(),531,0.025731
process(),532,0.019002
process(),533,0.019002
process(),534,0.018996
process(),535,0.018
process(),536,0.019001
process(),537,0.017999
process(),538,0.019001
process(),539,0.019005
process(),540,0.017998
process(),541,0.019
process(),542,0.018
process(),543,0.019
process(),544,0.018
process(),545,0.019001
process(),546,0.018995
process(),547,0.018005
process(),548,0.018996
process(),549,0.018999
process(),550,0.020001
process(),551,0.018999
process(),552,0.019001
process(),553,0.018999
process(),554,0.020001
process(),555,0.02
process(),556,0.020948
process(),557,0.019999
process(),558,0.019001
process(),559,0.019052
process(),560,0.019005
process(),561,0.018995
process(),562,0.019
process(),563,0.02
process(),564,0.01898
process(),565,0.01902
process(),566,0.019999
process(),567,0.019
process(),568,0.019
process(),569,0.020005
process(),570,0.018944
process(),571,0.019052
process(),572,0.018999
process(),573,0.019949
process(),574,0.019055
process(),575,0.019944
process(),576,0.019053
process(),577,0.019003
process(),578,0.017996
process(),579,0.019
process(),580,0.019001
process(),581,0.019006
process(),582,0.017998
process(),583,0.019
process(),584,0.018999
process(),585,0.019003
process(),586,0.019942
process(),587,0.020033
process(),588,0.020018
process(),589,0.023951
process(),590,0.023033
process(),591,0.019964
process(),592,0.020037
process(),593,0.019016
process(),594,0.021
process(),595,0.019949
process(),596,0.019998
process(),597,0.019001
process(),598,0.020032
process(),599,0.019019
process(),600,0.018949
process(),601,0.020059
process(),602,0.018941
process(),603,0.019054
process(),604,0.018997
process(),605,0.019946
process(),606,0.020036
process(),607,0.021
process(),608,0.019999
process(),609,0.019969
process(),610,0.020051
process(),611,0.020982
process(),612,0.019017
process(),613,0.019949
process(),614,0.020051
process(),615,0.018949
process(),616,0.019058
process(),617,0.018982
process(),618,0.019969
process(),619,0.01905
process(),620,0.01898
process(),621,0.020033
process(),622,0.019023
process(),623,0.018944
process(),624,0.020055
process(),625,0.018943
process(),626,0.020054
process(),627,0.018948
process(),628,0.019999
process(),629,0.020001
process(),630,0.020051
process(),631,0.01924
process(),632,0.019
process(),633,0.019948
process(),634,0.019053
process(),635,0.018999
process(),636,0.019001
process(),637,0.018999
process(),638,0.018946
process(),639,0.024002
process(),640,0.027027
process(),641,0.025001
process(),642,0.022973
process(),643,0.021998
process(),644,0.023037
process(),645,0.020965
process(),646,0.020051
process(),647,0.020003
process(),648,0.024981
process(),649,0.019016
process(),650,0.019951
process(),651,0.020049
process(),652,0.02095
process(),653,0.021001
process(),654,0.021049
process(),655,0.022953
process(),656,0.020049
process(),657,0.019945
process(),658,0.020053
process(),659,0.018983
process(),660,0.020018
process(),661,0.018948
process(),662,0.020052
process(),663,0.01995
process(),664,0.02003
process(),665,0.020189
process(),666,0.020048
process(),667,0.019952
process(),668,0.02005
process(),669,0.042954
process(),670,0.055993
process(),671,0.049004
process(),672,0.037995
process(),673,0.045004
process(),674,0.046
process(),675,0.065993
process(),676,0.038013
process(),677,0.047992
process(),678,0.035999
process(),679,0.033
process(),680,0.029
process(),681,0.031998
process(),682,0.033002
process(),683,0.030999
process(),684,0.031001
process(),685,0.030997
process(),686,0.031002
process(),687,0.030999
process(),688,0.042004
process(),689,0.034997
process(),690,0.033003
process(),691,0.030996
process(),692,0.037036
process(),693,0.030001
process(),694,0.051971
process(),695,0.057998
process(),696,0.090998
process(),697,0.078999
process(),698,0.050005
process(),699,0.065998
process(),700,0.048998
process(),701,0.05
process(),702,0.047001
process(),703,0.060002
process(),704,0.048999
process(),705,0.066002
process(),706,0.051996
process(),707,0.089999
process(),708,0.070003
process(),709,0.050998
process(),710,0.040001
process(),711,0.024999
process(),712,0.033998
process(),713,0.026006
process(),714,0.027993
process(),715,0.024003
process(),716,0.023998
process(),717,0.026
process(),718,0.022004
process(),719,0.021996
