oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
75,HDV,Diesel 16-32t,EURO IV,0.0,0.0,0.0,11.1253,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
76,HDV,Diesel >32t,Conventional,0.0,0.0,0.0,40.12,-0.8774,0,0,0,0.976,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
77,HDV,Diesel >32t,EURO I,0.0,0.0,0.0,26.748,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
78,HDV,Diesel >32t,EURO II,0.0,0.0,0.0,22.736,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
79,HDV,Diesel >32t,EURO III,0.0,0.0,0.0,15.9156,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
80,HDV,Diesel >32t,EURO IV,0.0,0.0,0.0,11.1253,-0.8774,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
81,HDV,Urban Buses,Conventional,0.0,0.0,0.0,43.647,-1.0301,0,0,0,0.992,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
82,HDV,Urban Buses,EURO I,0.0,0.0,0.0,32.7353,-1.0301,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
83,HDV,Urban Buses,EURO II,0.0,0.0,0.0,30.5529,-1.0301,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
84,HDV,Urban Buses,EURO III,0.0,0.0,0.0,21.387,-1.0301,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
85,HDV,Urban Buses,EURO IV,0.0,0.0,0.0,14.9709,-1.0301,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
86,HDV,Coaches,Conventional,0.0,0.0,0.0,44.217,-0.887,0,0,0,0.993,0.0,0.0,0.0,0.0,0.0,0,0,0,0.073
87,HDV,Coaches,EURO I,0.0,0.0,0.0,28.0026,-0.887,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
88,HDV,Coaches,EURO II,0.0,0.0,0.0,25.0578,-0.887,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
89,HDV,Coaches,EURO III,0.0,0.0,0.0,17.5409,-0.887,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
90,HDV,Coaches,EURO IV,0.0,0.0,0.0,12.2614,-0.887,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
91,MOT,Mopeds <50cc,Conventional,9.0,0.0,0.0,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
