vehicle_category,fuel,euro_standard,country,pollutant,hot-cold-evaporation,evaporation_split,10,20,30,40,50,60,70,80,90,100,110,120,130
Buses,Diesel,Euro I,Ireland,CH4,Hot,,0.1749999999999997,0.1749999999999997,0.1749999999999997,0.1749999999999997,0.12749999999999984,0.07999999999999999,0.07999999999999999,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997
Buses,Diesel,Euro I,Italy,CH4,Hot,,0.17499999999999993,0.17499999999999993,0.17499999999999993,0.17499999999999993,0.12749999999999995,0.07999999999999999,0.07999999999999999,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997
Buses,Diesel,Euro I,Latvia,CH4,Hot,,0.175,0.175,0.175,0.175,0.1275,0.08000000000000002,0.08000000000000002,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997
Buses,Diesel,Euro I,Liechtenstein,CH4,Hot,,0.175,0.175,0.175,0.175,0.1275,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Buses,Diesel,Euro I,Lithuania,CH4,Hot,,0.17500000000000004,0.17500000000000004,0.17499999999999993,0.17500000000000004,0.12750000000000006,0.08000000000000006,0.08000000000000006,0.07000000000000015,0.07000000000000015,0.07000000000000015,0.07000000000000015,0.07000000000000015,0.07000000000000015
Buses,Diesel,Euro I,Luxembourg,CH4,Hot,,0.175,0.175,0.175,0.175,0.1275,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Buses,Diesel,Euro I,Malta,CH4,Hot,,0.17500000000000002,0.17500000000000007,0.17500000000000002,0.17500000000000007,0.12750000000000003,0.07999999999999999,0.07999999999999999,0.07,0.07,0.07,0.07,0.07,0.07
Buses,Diesel,Euro I,Montenegro,CH4,Hot,,0.1749999999999998,0.1749999999999998,0.1749999999999998,0.1749999999999998,0.1274999999999999,0.07999999999999997,0.07999999999999997,0.07,0.07,0.07,0.07,0.07,0.07
Buses,Diesel,Euro I,Netherlands,CH4,Hot,,0.1749999999999995,0.1750000000000005,0.1750000000000005,0.1750000000000005,0.12749999999999975,0.08,0.08,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997,0.06999999999999997
Buses,Diesel,Euro I,North Macedonia,CH4,Hot,,0.17500000000000004,0.175,0.175,0.17500000000000004,0.1275,0.08,0.08,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995
Buses,Diesel,Euro I,Norway,CH4,Hot,,0.17500000000000027,0.17500000000000027,0.17500000000000024,0.17500000000000027,0.12750000000000009,0.07999999999999992,0.07999999999999992,0.07000000000000005,0.07000000000000005,0.07000000000000005,0.07000000000000005,0.07000000000000005,0.07000000000000005
Buses,Diesel,Euro I,Poland,CH4,Hot,,0.17499999999999996,0.17499999999999996,0.17499999999999996,0.17499999999999996,0.1275,0.08000000000000003,0.08000000000000003,0.07,0.07,0.07,0.07,0.07,0.07
Buses,Diesel,Euro I,Portugal,CH4,Hot,,0.1750000000000002,0.17500000000000016,0.1750000000000002,0.17500000000000016,0.1275000000000001,0.07999999999999999,0.07999999999999999,0.07000000000000002,0.07000000000000002,0.07000000000000002,0.07000000000000002,0.07000000000000002,0.07000000000000002
Buses,Diesel,Euro I,Romania,CH4,Hot,,0.17500000000000013,0.17500000000000013,0.17499999999999988,0.17500000000000013,0.12750000000000006,0.08000000000000002,0.08000000000000002,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995
Buses,Diesel,Euro I,Serbia,CH4,Hot,,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.12749999999999995,0.07999999999999988,0.07999999999999989,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995
Buses,Diesel,Euro I,Slovenia,CH4,Hot,,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.12749999999999995,0.0799999999999999,0.0799999999999999,0.07,0.07,0.07,0.07,0.07,0.07
Buses,Diesel,Euro I,Spain,CH4,Hot,,0.1749999999999999,0.1749999999999999,0.1749999999999999,0.1749999999999999,0.12749999999999995,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Buses,Diesel,Euro I,Sweden,CH4,Hot,,0.175,0.175,0.175,0.175,0.1275,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Buses,Diesel,Euro I,Switzerland,CH4,Hot,,0.175,0.175,0.175,0.175,0.12750000000000003,0.08000000000000007,0.08000000000000007,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995
Buses,Diesel,Euro I,Turkey,CH4,Hot,,0.175,0.175,0.175,0.175,0.12749999999999997,0.07999999999999997,0.07999999999999997,0.07000000000000005,0.07000000000000005,0.07000000000000005,0.07000000000000005,0.07000000000000005,0.07000000000000005
Buses,Diesel,Euro I,United Kingdom,CH4,Hot,,0.1749999999999999,0.1749999999999999,0.1749999999999999,0.17499999999999985,0.12749999999999995,0.08000000000000002,0.08000000000000002,0.07000000000000002,0.07000000000000002,0.07000000000000002,0.07000000000000002,0.07000000000000002,0.07000000000000002
Buses,Diesel,Euro II,Albania,CH4,Hot,,0.11374999999999999,0.11374999999999999,0.11374999999999999,0.11374999999999999,0.082875,0.052000000000000005,0.052000000000000005,0.04550000000000003,0.04550000000000003,0.04550000000000003,0.04550000000000003,0.04550000000000003,0.04550000000000003
Buses,Diesel,Euro II,Austria,CH4,Hot,,0.11374999999999992,0.11374999999999992,0.11374999999999992,0.11374999999999992,0.08287500000000002,0.052000000000000116,0.052000000000000116,0.0455000000000001,0.0455000000000001,0.0455000000000001,0.0455000000000001,0.0455000000000001,0.0455000000000001
Buses,Diesel,Euro II,Belgium,CH4,Hot,,0.1137499999999999,0.1137499999999999,0.1137499999999999,0.1137499999999999,0.08287499999999999,0.052000000000000074,0.052000000000000074,0.045499999999999895,0.045499999999999895,0.045499999999999895,0.045499999999999895,0.045499999999999895,0.045499999999999895
Buses,Diesel,Euro II,Bulgaria,CH4,Hot,,0.11374999999999996,0.11374999999999996,0.11374999999999996,0.11374999999999996,0.08287499999999998,0.052000000000000005,0.052000000000000005,0.0455,0.0455,0.0455,0.0455,0.0455,0.0455
Buses,Diesel,Euro II,Croatia,CH4,Hot,,0.11375000000000002,0.11375000000000002,0.11375000000000002,0.11375000000000002,0.08287500000000002,0.05200000000000001,0.05200000000000001,0.045500000000000075,0.045500000000000075,0.045500000000000075,0.045500000000000075,0.045500000000000075,0.045500000000000075
Buses,Diesel,Euro II,Cyprus,CH4,Hot,,0.11374999999999984,0.11374999999999984,0.11374999999999984,0.11374999999999984,0.08287499999999992,0.052000000000000005,0.052000000000000005,0.04550000000000003,0.04550000000000003,0.04550000000000003,0.04550000000000003,0.04550000000000003,0.04550000000000003
