oid,engine_type,engine_full_name,engine_name,thrust,mode,fuel_kg_sec,co_ei,hc_ei,nox_ei,sox_ei,pm10_ei,p1_ei,p2_ei,smoke_number,smoke_number_maximum,fuel_type,manufacturer,source,remark,status,engine_name_type,coolant,combustion_technology,technology_age,pm10_nonvol,pm10_sul,pm10_organic,eng_type,bpr,nvpm_ei,nvpm_number_ei,press_ratio,meem_nvpm_m_i_f00_avg,meem_nvpm_n_i_f00_avg,nvpm_m_max_mgkg,nvpm_n_max_nkg
41,J,6AL010,6AL010,1.0,TO,0.3805,0.7399999999999999,0.03,16.1,0.0,0.0588407358738501,0.0588407358738501,0.0588407358738501,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0064307227332457,0.0489600525624178,0.0034500131406044,J,,0.0064307227332457,15425200000000.0,,,,,
42,J,6AL010,6AL010,0.85,CL,0.3163,0.5499999999999999,0.03,14.009999999999998,0.0,0.0585248182105595,0.0585248182105595,0.0585248182105595,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0072849193803351,0.0489598482453367,0.00228,J,,0.0072849193803351,14525800000000.0,,,,,
43,J,6AL010,6AL010,0.3,AP,0.1125,6.8,0.03,7.119999999999999,0.0,0.0624880888888888,0.0624880888888888,0.0624880888888888,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0118405333333333,0.0489599999999999,0.0016875022222222,J,,0.0118405333333333,67178500000000.0,,,,,
44,J,6AL010,6AL010,0.07,TX,0.0459,40.06999999999999,3.88,4.17,0.0,0.088014596949891,0.088014596949891,0.088014596949891,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0151149237472766,0.0489599128540304,0.023939651416122,J,,0.0151149237472766,34988400000000.0,,,,,
45,J,6AL011,6AL011,1.0,TO,0.3589,0.83,0.233,18.55,0.0,0.093052660908331,0.093052660908331,0.093052660908331,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0172975480635274,0.0489598774031763,0.0267950125383115,J,,0.0172975480635274,39135700000000.0,,,,,
46,J,6AL011,6AL011,0.85,CL,0.2999,1.0299999999999998,0.2689999999999999,15.81,0.0,0.0767329109703234,0.0767329109703234,0.0767329109703234,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0073288762920973,0.0489599866622207,0.0204440146715571,J,,0.0073288762920973,13855700000000.0,,,,,
47,J,6AL011,6AL011,0.3,AP,0.1077,4.21,0.6890000000000001,6.829999999999999,0.0,0.0996285979572887,0.0996285979572887,0.0996285979572887,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0119121634168987,0.0489599814298978,0.0387562674094707,J,,0.0119121634168987,64700900000000.0,,,,,
48,J,6AL011,6AL011,0.07,TX,0.0449,25.58,4.639999999999999,3.39,0.0,0.0927951002227171,0.0927951002227171,0.0927951002227171,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0152063251670378,0.0489599109131403,0.0286287305122494,J,,0.0152063251670378,34433100000000.0,,,,,
49,J,6AL012,6AL012,1.0,TO,0.3589,0.0001,0.0001,21.26,0.0,0.0554410699359153,0.0554410699359153,0.0554410699359153,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0064695179715798,0.0489598774031763,1.15e-05,J,,0.0064695179715798,14637300000000.0,,,,,
50,J,6AL012,6AL012,0.85,CL,0.2999,0.0001,0.0001,18.62,0.0,0.056296432144048,0.056296432144048,0.056296432144048,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0073288762920973,0.0489599866622207,7.6e-06,J,,0.0073288762920973,13855700000000.0,,,,,
51,J,6AL012,6AL012,0.3,AP,0.1077,1.83,0.21,6.84,0.0,0.0726845868152274,0.0726845868152274,0.0726845868152274,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0119121634168987,0.0489599814298978,0.0118125348189415,J,,0.0119121634168987,64700900000000.0,,,,,
52,J,6AL012,6AL012,0.07,TX,0.0449,32.4,5.23,3.29,0.0,0.096435412026726,0.096435412026726,0.096435412026726,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0152063251670378,0.0489599109131403,0.0322690423162583,J,,0.0152063251670378,34433100000000.0,,,,,
53,J,6AL013,6AL013,1.0,TO,0.3589,0.5,0.03,15.420000000000002,0.0,0.0588796322095291,0.0588796322095291,0.0588796322095291,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0064695179715798,0.0489598774031763,0.0034500139314572,J,,0.0064695179715798,14637300000000.0,,,,,
54,J,6AL013,6AL013,0.85,CL,0.2999,0.5,0.03,13.49,0.0,0.0585688562854284,0.0585688562854284,0.0585688562854284,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0073288762920973,0.0489599866622207,0.00228,J,,0.0073288762920973,13855700000000.0,,,,,
55,J,6AL013,6AL013,0.3,AP,0.1077,7.619999999999999,0.03,6.93,0.0,0.0625596100278551,0.0625596100278551,0.0625596100278551,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0119121634168987,0.0489599814298978,0.0016875023212627,J,,0.0119121634168987,64700900000000.0,,,,,
56,J,6AL013,6AL013,0.07,TX,0.0449,38.47,3.81,4.2700000000000005,0.0,0.0876739420935412,0.0876739420935412,0.0876739420935412,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0152063251670378,0.0489599109131403,0.0235077951002227,J,,0.0152063251670378,34433100000000.0,,,,,
57,J,6AL014,6AL014,1.0,TO,0.3806,0.77,0.222,19.57,0.0,0.0916784025223331,0.0916784025223331,0.0916784025223331,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0171883342091434,0.0489600630583289,0.0255300052548607,J,,0.0171883342091434,41239900000000.0,,,,,
58,J,6AL014,6AL014,0.85,CL,0.3163,0.97,0.258,16.56,0.0,0.0758529876699336,0.0758529876699336,0.0758529876699336,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0072849193803351,0.0489598482453367,0.0196079987353778,J,,0.0072849193803351,14525800000000.0,,,,,
59,J,6AL014,6AL014,0.3,AP,0.1126,3.9299999999999993,0.658,7.07,0.0,0.0978134991119005,0.0978134991119005,0.0978134991119005,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0118405861456483,0.0489600355239786,0.0370125222024866,J,,0.0118405861456483,67238200000000.0,,,,,
60,J,6AL014,6AL014,0.07,TX,0.046,23.8,3.85,3.47,0.0,0.0878293478260869,0.0878293478260869,0.0878293478260869,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0151149347826086,0.04896,0.0237545652173913,J,,0.0151149347826086,35064600000000.0,,,,,
61,J,6AL015,6AL015,1.0,TO,0.3806,0.0001,0.0001,22.02,0.0,0.0554022595901208,0.0554022595901208,0.0554022595901208,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0064307409353652,0.0489600630583289,1.1499999999999998e-05,J,,0.0064307409353652,15429200000000.0,,,,,
62,J,6AL015,6AL015,0.85,CL,0.3163,0.0001,0.0001,19.16,0.0,0.0562526082832753,0.0562526082832753,0.0562526082832753,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0072849193803351,0.0489598482453367,7.6e-06,J,,0.0072849193803351,14525800000000.0,,,,,
63,J,6AL015,6AL015,0.3,AP,0.1126,1.5099999999999998,0.1899999999999999,6.89,0.0,0.0714880994671403,0.0714880994671403,0.0714880994671403,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0118405861456483,0.0489600355239786,0.0106874777975133,J,,0.0118405861456483,67238200000000.0,,,,,
64,J,6AL015,6AL015,0.07,TX,0.046,32.68,5.06,3.19,0.0,0.0952952173913043,0.0952952173913043,0.0952952173913043,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0151149347826086,0.04896,0.0312202173913043,J,,0.0151149347826086,35064600000000.0,,,,,
65,J,6AL016,6AL016,1.0,TO,0.3806,0.74,0.03,16.1,0.0,0.0588407777193904,0.0588407777193904,0.0588407777193904,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0064307409353652,0.0489600630583289,0.00345,J,,0.0064307409353652,15429200000000.0,,,,,
66,J,6AL016,6AL016,0.85,CL,0.3163,0.5499999999999999,0.03,14.009999999999998,0.0,0.0585248182105595,0.0585248182105595,0.0585248182105595,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0072849193803351,0.0489598482453367,0.00228,J,,0.0072849193803351,14525800000000.0,,,,,
