oid;icao;ac_group_code;ac_group;manufacturer;name;class;mtow;engine_count;engine_name;engine;departure_profile;arrival_profile;bada_id;wake_category;apu_id
1691;PA27;PP;PROPELLER;PIPER;PA-23 Aztec Turbo Aztec;L2P/L;2344;2;IO-540-T4A5D;IO-540-T4A5D;BEC58P-D-1;BEC58P-A-1;PA27;L;NONE
1692;C303;PP;PROPELLER;CESSNA;T303 Crusader;L2P/L;2336;2;TSIO-520-WB;TSIO-520-WB;BEC58P-D-1;BEC58P-A-1;PA31;L;NONE
1693;C320;PP;PROPELLER;CESSNA;320 SkyKnight;L2P/L;2368;2;TSIO-520-WB;TSIO-520-WB;BEC58P-D-1;BEC58P-A-1;PA31;L;NONE
1694;C335;PP;PROPELLER;CESSNA;335;L2P/L;2717;2;TSIO-520-WB;TSIO-520-WB;BEC58P-D-1;BEC58P-A-1;PA31;L;NONE
1695;C340;PP;PROPELLER;CESSNA;340;L2P/L;2724;2;TSIO-520-WB;TSIO-520-WB;BEC58P-D-1;BEC58P-A-1;PA31;L;NONE
1696;C402;PP;PROPELLER;CESSNA;401 402 Businessliner/Utililiner;L2P/L;2960;2;TSIO-520-WB;TSIO-520-WB;BEC58P-D-1;BEC58P-A-1;PA31;L;NONE
1697;C414;PP;PROPELLER;CESSNA;414 Chancellor;L2P/L;2998;2;TSIO-520-WB;TSIO-520-WB;BEC58P-D-1;BEC58P-A-1;PA31;L;NONE
1698;KA26;H2;HELICOPTER HEAVY;KAMOV;Ka-26;H2P/-;3255;2;TSIO-520-WB;TSIO-520-WB;HELIPROF-D-1;HELIPROF-A-1;PA31;L;NONE
1699;PA31;PP;PROPELLER;PIPER;PA-31 Navajo (EMB-820C);L2P/L;3120;2;TIO-540-J2B2;TIO-540-J2B2;BEC58P-D-1;BEC58P-A-1;PA31;L;NONE
1700;B103;PP;PROPELLER;BERIEV;Be103Bekas;A2P/L;2200;2;IO-360-A1B6;IO-360-A1B6;BEC58P-D-1;BEC58P-A-1;PA34;L;
1701;BE95;PP;PROPELLER;BEECH;Travel Air 95;L2P/L;1867;2;IO-360-A1B6;IO-360-A1B6;BEC58P-D-1;BEC58P-A-1;PA34;L;NONE
1702;C336;PP;PROPELLER;CESSNA;336 Skymaster;L2P/L;1769;2;IO-360-A1B6;IO-360-A1B6;BEC58P-D-1;BEC58P-A-1;PA34;L;NONE
1703;C337;PP;PROPELLER;CESSNA;337 (turbo) Super Skymaster;L2P/L;2047;2;IO-360-A1B6;IO-360-A1B6;BEC58P-D-1;BEC58P-A-1;PA34;L;NONE
1704;L200;PP;PROPELLER;LET;L-200 Morava;L2P/L;1950;2;TSIO-360C;TSIO-360C;BEC58P-D-1;BEC58P-A-1;PA34;L;NONE
1705;P337;PP;PROPELLER;CESSNA;P337 Pressurized Skymaster;L2P/L;2132;2;TSIO-360C;TSIO-360C;BEC58P-D-1;BEC58P-A-1;PA34;L;NONE
1706;P68;PP;PROPELLER;TAAL;P-68 Victor Observer (Partenavia);L2P/L;1978;2;IO-360-A1B6;IO-360-A1B6;BEC58P-D-1;BEC58P-A-1;PA34;L;NONE
1707;PA34;PP;PROPELLER;PIPER;PA-34 Seneca (EMB-810) M-20 Mewa;L2P/L;2037;2;TSIO-360C;TSIO-360C;BEC58P-D-1;BEC58P-A-1;PA34;L;NONE
1708;BE76;PP;PROPELLER;BEECH;Duchess 76;L2P/L;1769;2;O-360-A3A;O-360-A3A;BEC58P-D-1;BEC58P-A-1;PA44;L;NONE
1709;DA62;PI;PISTON;DIAMOND;DA62;L2P/L;2300;2;O-360-A3A;O-360-A3A;BEC58P-D-1;BEC58P-A-1;PA44;L;
1710;PA44;PP;PROPELLER;PIPER;PA-44 Seminole Turbo Seminole;L2P/L;1729;2;O-360-A3A;O-360-A3A;BEC58P-D-1;BEC58P-A-1;PA44;L;NONE
1711;TBEE;PP;PROPELLER;UNITED CONSULTANT;UC-1 Twin Bee;A2P/L;2000;2;O-360-A3A;O-360-A3A;BEC58P-D-1;BEC58P-A-1;PA44;L;NONE
1712;AC5A;PI;PISTON;NANJING;AC500Aircar;L1P/L;1500;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;
1713;BE17;PP;PROPELLER;BEECH;17 Stagger Wing (UC-43 Traveler);L1P/L;2000;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;NONE
1714;DA50;PI;PISTON;DIAMOND;DA-50Magnum;L1P/L;1200;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;0
1715;DHC2;PP;PROPELLER;DE HAVILLAND;DHC-2 Mk1 Beaver;L1P/L;2318;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;NONE
1716;E400;PP;PROPELLER;EXTRA;400;L1P/L;1900;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;NONE
1717;EDGE;PI;PISTON;ZIVKO;Edge540;L1P/L;700;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;
1718;LNC4;PI;PISTON;LANCAIR;Lancair4;L1P/L;1451;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;0
1719;M203;PI;PISTON;MYASISHCHEV;Barsuk;L1P/L;2800;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;
1720;MOL1;PI;PISTON;MOLNIYA;1;L1P/L;1800;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;
1721;PA36;PP;PROPELLER;PIPER;PA-36 Pawnee Brave;L1P/L;1995;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;NONE
1722;PA46;PP;PROPELLER;PIPER;PA-46 Malibu Malibu Mirage;L1P/L;1904;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;NONE
1723;PC6P;PP;PROPELLER;PILATUS;PC-6 Porter;L1P/L;2200;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;NONE
1724;SM92;PP;PROPELLER;TECHNOAVIA;SM-92 Finist;L1P/L;2700;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;NONE
1725;T6;PP;PROPELLER;NORTH AMERICAN;T-6 Harvard/Texan;L1P/L;2671;1;Prop-500hp;Prop-500hp;GASEPF-D-1;GASEPF-A-1;PA46;L;NONE
1726;Y11;PP;PROPELLER;HARBIN YUNSHUJI;Y-11;L2P/L;3500;1;Prop-500hp;Prop-500hp;BEC58P-D-1;BEC58P-A-1;PA46;L;NONE
1727;Y18T;PP;PROPELLER;YAKOVLEV;Yak-18T;L1P/L;1650;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;NONE
1728;YK52;PI;PISTON;AEROSTAR (2);Iak52;L1P/L;1300;1;TIO-540-J2B2;TIO-540-J2B2;GASEPF-D-1;GASEPF-A-1;PA46;L;
1729;PAY3;TP;TURBOPROP;PIPER;PA-42 Cheyenne 3;L2T/L;5078;2;PT6A-61;PT6A-61;CNA441-D-1;CNA441-A-1;PAY3;L;NONE
1730;AT5T;TP;TURBOPROP;AIRTRACTOR;AT-502/3;L1T/L;4300;1;PT6A-68;PT6A-68;DHC6-D-1;DHC6-A-1;PC12;L;0
1731;AT6T;TP;TURBOPROP;AIR TRACTOR;AT-602;L1T/L;5670;1;PT6A-60AG;PT6A-60AG;DHC6-D-1;DHC6-A-1;PC12;L;NONE
1732;AT8T;TP;TURBOPROP;AIR TRACTOR;AT-802;L1T/L;7081;1;PT6A-67R;PT6A-67R;DHC8-D-1;DHC8-A-1;PC12;L/M;NONE
1733;B36T;TP;TURBOPROP;RAYTHEON/BEECH;36Bonanza(turbine);L1T/L;1700;1;PT6A-60A;PT6A-60A;DHC6-D-1;DHC6-A-1;PC12;L;0
1734;C365;TP;TURBOPROP;EKW;C3605;L1T/L;3700;1;PT6A-65B;PT6A-65B;DHC6-D-1;DHC6-A-1;PC12;L;
1735;E314;TP;TURBOPROP;EMBRAER;EMB-314SuperTucano;L1T/L;3600;1;PT6A-67CF;PT6A-67CF;DHC6-D-1;DHC6-A-1;PC12;L;0
1736;EGRT;TP;TURBOPROP;GROB;G-520T Egrett D-500 Egrett;L1T/L;4430;1;TPE331-14B;TPE331-14B;DHC6-D-1;DHC6-A-1;PC12;L;NONE
1737;KEST;TP;TURBOPROP;FARNBOROUGH;F1Kestrel;L1T/L;3700;1;TPE331-14GR;TPE331-14GR;DHC6-D-1;DHC6-A-1;PC12;L;
1738;PC12;TP;TURBOPROP;PILATUS;PC-12 Eagle;L1T/L;4497;1;PT6A-67B;PT6A-67B;DHC6-D-1;DHC6-A-1;PC12;L;NONE
1739;PC21;TP;TURBOPROP;PILATUS;PC-21;L1T/L;4200;1;PT6A-68;PT6A-68;DHC6-D-1;DHC6-A-1;PC12;L;0
1740;TEX2;TP;TURBOPROP;HAWKERBEECHCRAFT;T-6Texan2;L1T/L;3000;1;PT6A-68;PT6A-68;DHC6-D-1;DHC6-A-1;PC12;L;0
1741;UH1;H2;HELICOPTER HEAVY;AGUSTA BELL;UH-1 204/205/214 (Iroquois/Huey/Shabaviz/Big Lifter);H1T/-;4159;1;PT6A-65B;PT6A-65B;HELIPROF-D-1;HELIPROF-A-1;PC12;L;NONE
1742;PRM1;JB;JET BUSINESS;RAYTHEON;390 Premier 1;L2J/L;5670;2;JT15D-1 series;1PW035;CNA55B-D-1;CNA55B-A-1;PRM1;L;BUSJ
1743;RJ1H;JR;JET REGIONAL;AVRO;146-RJ-100 Avroliner;L4J/M;45549;4;LF507-1F, -1H ;1TL004;BAE300-D-1;BAE300-A-1;RJ1H;M;REGJ
1744;RJ70;JR;JET REGIONAL;AVRO;146-RJ-70 Avroliner;L4J/M;41834;4;LF507-1F, -1H ;1TL004;BAE146-D-1;BAE146-A-1;RJ85;M;REGJ
1745;RJ85;JR;JET REGIONAL;AVRO;146-RJ-85 Avroliner;L4J/M;42827;4;LF507-1F, -1H ;1TL004;BAE146-D-1;BAE146-A-1;RJ85;M;REGJ
1746;CVLT;TP;TURBOPROP;CONVAIR;CV-540/580/600/640 (VC-131H);L2T/M;25141;2;501 D13 alternative 1;501 D13 alternative 1;HS748A-D-1;HS748A-A-1;SB20;M;TPRP
1747;H53;H2;HELICOPTER HEAVY;SIKORSKY;S-65 Sea Stallion;H2T/-;34000;2;501 D13 alternative 1;501 D13 alternative 1;HELIPROF-D-1;HELIPROF-A-1;SB20;M;NONE
1748;SB20;TP;TURBOPROP;SAAB;2000;L2T/M;22829;2;AE2100A on Saab 2000;AE2100A on Saab 2000;SF340-D-1;SF340-A-1;SB20;M;TPRP
1749;RF4;PP;PROPELLER;ALPAVIA;RF-4;L1P/L;380;1;Rotax 582 DCDI;Rotax 582 DCDI;GASEPF-D-1;GASEPF-A-1;SF25;L;NONE
1750;SF25;PI;PISTON;LORAVIA;Falke;L1P/L;600;1;Rotax 582 DCDI;Rotax 582 DCDI;GASEPF-D-1;GASEPF-A-1;SF25;L;
1751;SF34;TP;TURBOPROP;SAAB;SF340 (Cityliner);L2T/M;12958;2;CT7-5A2;CT7-5A2;SF340-D-1;SF340-A-1;SF34;M;TPRP
1752;A139;HL;HELICOPTER LARGE;BELL-AGUSTA;AB-139;H2T/-;6400;2;PT6A-67CF;PT6A-67CF;HELIPROF-D-1;HELIPROF-A-1;SH36;L;0
1753;DC3T;TP;TURBOPROP;PROFESSIONAL AVIATION;Jet Prop DC-3 (C-47TP Super Dakota);L2T/M;13041;2;PT6A-65AR;PT6A-65AR;SD330-D-1;SD330-A-1;SH36;M;TPRP
1754;PUMA;H2;HELICOPTER HEAVY;EUROCOPTER;SA-330 Puma;H2T/-;7336;2;PT6A-67CF;PT6A-67CF;HELIPROF-D-1;HELIPROF-A-1;SH36;L;NONE
1755;S2T;TP;TURBOPROP;MARSH;S-2 Turbo Tracker/Airtanker/Firecat;L2T/M;12616;2;PT6A-67AF;PT6A-67AF;DHC8-D-1;DHC8-A-1;SH36;M;TPRP
1756;SH36;TP;TURBOPROP;SHORTS;360;L2T/M;12063;2;PT6A-67R;PT6A-67R;SD330-D-1;SD330-A-1;SH36;M;TPRP
1757;V1;TP;TURBOPROP;GRUMMAN;AO1Mohawk;L2T/M;8124;2;PT6A-65AR;PT6A-65AR;DHC8-D-1;DHC8-A-1;SH36;M;
1758;SR20;PP;PROPELLER;CIRRUS;SR-20;L1P/L;2000;1;IO-360-A1B6;IO-360-A1B6;GASEPF-D-1;GASEPF-A-1;SR20;L;NONE
1759;C210;PP;PROPELLER;CESSNA;210 Centurion T210 Turbo centurion;L1P/L;1732;1;TSIO-520-WB;TSIO-520-WB;GASEPF-D-1;GASEPF-A-1;SR22;L;NONE
1760;C240;PI;PISTON;CESSNA;CorvalisTTx;L1P/L;1600;1;TSIO-520-WB;TSIO-520-WB;GASEPF-D-1;GASEPF-A-1;SR22;L;
1761;COL4;PI;PISTON;LANCAIR;Columbia400;L1P/L;1630;1;TSIO-520-WB;TSIO-520-WB;GASEPF-D-1;GASEPF-A-1;SR22;L;0
1762;M200;PI;PISTON;AEROCOMMANDER;200Commander200;L1P/L;2000;1;TSIO-520-WB;TSIO-520-WB;GASEPF-D-1;GASEPF-A-1;SR22;L;0
1763;M22;PI;PISTON;MOONEY;M22;L1P/L;1500;1;TSIO-520-WB;TSIO-520-WB;GASEPF-D-1;GASEPF-A-1;SR22;L;0
1764;P210;PP;PROPELLER;CESSNA;P210 Pressurized Centurion 2;L1P/L;1814;1;TSIO-520-WB;TSIO-520-WB;GASEPF-D-1;GASEPF-A-1;SR22;L;NONE
1765;P32T;PP;PROPELLER;PIPER;PA-32 Turbo Lance 2;L1P/L;1633;1;TSIO-520-WB;TSIO-520-WB;GASEPF-D-1;GASEPF-A-1;SR22;L;NONE
1766;S22T;PI;PISTON;CIRRUS;SR22Turbo;L1P/L;1600;1;TSIO-520-WB;TSIO-520-WB;GASEPF-D-1;GASEPF-A-1;SR22;L;
1767;SR22;PI;PISTON;CIRRUS;SR-22;L1P/L;1610;1;IO-550-B;IO-550-B;GASEPF-D-1;GASEPF-A-1;SR22;L;0
1768;SU95;JM;JET MEDIUM;SUKHOI;Superjet10095;L2J/M;102000;2;SaM146-1S17;11PJ001;EMB195-D-1;EMB195-A-1;SU95;M;
1769;B212;H2;HELICOPTER HEAVY;BELL;212;H2T/-;5114;2;PT6T-3B;PT6T-3B Turboshaft;HELIPROF-D-1;HELIPROF-A-1;SW4;L;NONE
1770;B412;H2;HELICOPTER HEAVY;BELL;412;H2T/-;5375;2;PT6T-3D;PT6T-3D Turboshaft;HELIPROF-D-1;HELIPROF-A-1;SW4;L;NONE
1771;S65C;H2;HELICOPTER HEAVY;AEROSPATIALE;SA-365C Dauphin 2;H2T/-;3465;2;PT6B-37;PT6B-37 Turboshaft;HELIPROF-D-1;HELIPROF-A-1;SW4;L;NONE
1772;SW4;TP;TURBOPROP;FAIRCHILD SWEARINGEN;Merlin 4 (SA226/SA227) Expediter Metro;L2T/L;6525;2;TPE331-11U-601G;TPE331-11U-601G;DHC6-D-1;DHC6-A-1;SW4;L/M;NONE
1773;W3;H2;HELICOPTER HEAVY;PZL-SWIDNIK;W-3 Sok�l/Huzar/Procjon/Erka/Anakonda;H2T/-;6400;2;PT6B-37;PT6B-37 Turboshaft;HELIPROF-D-1;HELIPROF-A-1;SW4;L;NONE
1774;T134;JR;JET REGIONAL;TUPOLEV;Tu-134;L2J/M;48533;2;D-30 (Il series);1AA001;DC930-D-1;DC930-A-1;T134;M;REGJ
1775;T154;JS;JET SMALL;TUPOLEV;Tu-154;L3J/M;99115;3;D-30KU-154;1AA004;727QF-D-1;727QF-D-1;T154;M;SOLD
1776;T204;JS;JET SMALL;TUPOLEV;Tu-204/214/224/234;L2J/M;100889;2;PS-90A2;13AA008;757RR-D-1;757RR-A-1;T204;M;SNEW
1777;AC11;PP;PROPELLER;ROCKWELL;Commander 112/114/115;L1P/L;1424;1;IO-540-T4A5D;IO-540-T4A5D;GASEPF-D-1;GASEPF-A-1;TB20;L;NONE
1778;BE35;PP;PROPELLER;BEECH;Bonanza 35;L1P/L;1487;1;IO-540-T4A5D;IO-540-T4A5D;GASEPF-D-1;GASEPF-A-1;TB20;L;NONE
1779;BL8;PI;PISTON;AMERICANCHAMPION;8SuperDecathlon;L1P/L;980;1;IO-540-T4A5D;IO-540-T4A5D;GASEPF-D-1;GASEPF-A-1;TB20;L;0
1780;C205;PP;PROPELLER;CESSNA;205 Super Skywagon;L1P/L;1497;1;IO-540-T4A5D;IO-540-T4A5D;GASEPF-D-1;GASEPF-A-1;TB20;L;NONE
1781;CE43;PP;PROPELLER;CERVA;CE-43 Guepard;L1P/L;1400;1;IO-540-T4A5D;IO-540-T4A5D;GASEPF-D-1;GASEPF-A-1;TB20;L;NONE
1782;DO27;PP;PROPELLER;DORNIER;DO-27;L1P/L;1723;1;IO-540-T4A5D;IO-540-T4A5D;GASEPF-D-1;GASEPF-A-1;TB20;L;NONE
1783;EVOP;PI;PISTON;LANCAIR;EvolutionPiston;L1P/L;2063.845;1;IO-540-T4A5D;IO-540-T4A5D;GASEPF-D-1;GASEPF-A-1;TB20;L;
