FLIGHT_ID;FLIGHT_PHASE;POINT_INDEX;ORIGIN;LATITUDE;LONGITUDE;X;Y;LOCAL_DISTANCE_FT;TOTAL_DISTANCE_NM;ELEVATION_FT;DATE;TIME;TAS_KT;ANP_POWER_SETTING_1ENG_LB;TOTAL_NET_THRUST_N;FUEL_FLOW_KGM;TOTAL_FUEL_BURNT_KG;WEIGHT_KG
FLIGHT_37;ARRIVAL;32;TRACK2D;0;-0.1650582513184677;-9.921274561555075;0;-61236.479316132856;13.34;3000;30/01/2023;15:05:12;154.6;269;2129.05873659774;13.083446399958133;44.27939793854094;52253.84106781958
FLIGHT_37;ARRIVAL;33;TRACK2D;0;-0.16232018633247136;-9.756695727861771;0;-60236.48021894064;13.51;3000;30/01/2023;15:05:16;154.6;269;2129.05873659774;13.083446399958133;45.137235907498194;52253.84106781958
FLIGHT_37;ARRIVAL;34;VERTICAL_PROFILE;0;-0.16030365381156994;-9.635486562961756;0;-59500;13.63;3000;30/01/2023;15:05:19;154.6;269;2129.05873659774;13.083446399958133;45.76916636861617;52253.84106781958
FLIGHT_37;ARRIVAL;35;VERTICAL_PROFILE;0;-0.15821724640861592;-9.51007737846707;0;-58738;13.75;3000;30/01/2023;15:05:22;149.4;280;2216.120618019952;13.083446399958133;46.43424156061404;52253.84106781958
FLIGHT_37;ARRIVAL;36;TRACK2D;0;-0.15412934706881304;-9.264363084233262;0;-57245.012919663015;14;3000;30/01/2023;15:05:28;149.4;3811.1345355723947;30164.049365463852;29.230473197867497;48.5795572842238;52253.84106781958
FLIGHT_37;ARRIVAL;37;VERTICAL_PROFILE;0;-0.15393764697184803;-9.252840429168916;0;-57175;14.01;3000;30/01/2023;15:05:28;149.4;3899;30859.479605927834;29.904379899138952;48.72000256032919;52253.84106781958
FLIGHT_37;ARRIVAL;38;TRACK2D;0;-0.15139128208281674;-9.099784250539956;0;-56245.013822470784;14.16;2951.1704296308694;30/01/2023;15:05:32;149.283870721795;3892.166536846313;30860.115985311557;29.902302189194312;50.611887270390135;52253.84106781958
FLIGHT_37;ARRIVAL;39;VERTICAL_PROFILE;0;-0.1298974146910919;-7.807836964781341;0;-48395;15.45;2539;30/01/2023;15:06:04;148.3;3834;30865.48714122374;29.876422013099866;66.63657060488512;52253.84106781958
FLIGHT_37;ARRIVAL;40;TRACK2D;0;-0.12492421498608125;-7.508909287257019;0;-46578.682549317695;15.75;2443.8265700405377;30/01/2023;15:06:12;148.10005197760566;3820.794272443621;30865.298221193596;29.871887509644083;70.357396580414;52253.84106781958
FLIGHT_37;ARRIVAL;41;TRACK2D;0;-0.12218615000008495;-7.344330453563716;0;-45578.68345212548;15.92;2391.427500703624;30/01/2023;15:06:16;147.98985247328474;3813.5041541377263;30865.194208122528;29.869052387490814;72.40800434238317;52253.84106781958
FLIGHT_37;ARRIVAL;42;TRACK2D;0;-0.10975423973766733;-6.5970767170626345;0;-41038.287551233894;16.66;2153.5147662862973;30/01/2023;15:06:35;147.48846701311936;3780.22727489981;30864.72194276587;29.85310628869026;81.73561015829138;52253.84106781958
FLIGHT_37;ARRIVAL;43;VERTICAL_PROFILE;0;-0.10262078667504487;-6.168301143342953;0;-38433;17.09;2017;30/01/2023;15:06:46;147.2;3761;30864.4509527694;29.84164067431905;87.10017808536715;52253.84106781958
FLIGHT_37;ARRIVAL;44;TRACK2D;0;-0.09835115739373786;-5.911663477321815;0;-36873.641311112304;17.35;1935.11946989754;30/01/2023;15:06:52;147.02700422125048;3750.0431954551004;30865.538205855988;29.838903125817424;90.3154673825995;52253.84106781958
FLIGHT_37;ARRIVAL;45;TRACK2D;0;-0.09561309240774153;-5.74708464362851;0;-35873.64221392007;17.51;1882.6104116779156;30/01/2023;15:06:56;146.91595678034858;3742.9998412316104;30866.235428812863;29.836848458414472;92.37925379155418;52253.84106781958
FLIGHT_37;ARRIVAL;46;TRACK2D;0;-0.08081604161042034;-4.857667710583153;0;-30469.447092873852;18.4;1598.8409592474231;30/01/2023;15:07:19;146.31437574114247;3704.70442916563;30870.003088612324;29.821629088034086;103.55676671386087;52253.84106781958
FLIGHT_37;ARRIVAL;47;TRACK2D;0;-0.07807797662442402;-4.693088876889849;0;-29469.44799568163;18.56;1546.331901027799;30/01/2023;15:07:23;146.20278702859895;3697.5747120457477;30870.700210728635;29.818038939847277;105.62974217506331;52253.84106781958
FLIGHT_37;ARRIVAL;48;VERTICAL_PROFILE;0;-0.07555772792071756;-4.541602482522132;0;-28549;18.71;1498;30/01/2023;15:07:27;146.1;3691;30871.341862049194;29.814517331453978;107.53848091371388;52253.84106781958
FLIGHT_37;ARRIVAL;49;VERTICAL_PROFILE;0;-0.05204594265934478;-3.128362761713918;0;-19962;20.12;1047;30/01/2023;15:08:03;145.1;3631;30873.654368856067;29.78603392228202;125.40920953588618;52253.84106781958
FLIGHT_37;ARRIVAL;50;TRACK2D;0;-0.04915234621546275;-2.95443528725702;0;-18905.1975331777;20.3;991.584293427789;30/01/2023;15:08:07;144.98111329290325;3623.794029348983;30873.546923802278;29.783362421487517;127.61625567042285;52253.84106781958
FLIGHT_37;ARRIVAL;51;TRACK2D;0;-0.03292755881184362;-1.9792003671706266;0;-12979.562882891565;21.27;680.8609166913894;30/01/2023;15:08:32;144.3126852209774;3583.120745047629;30872.94445789806;29.763472720048636;140.02035765403102;52253.84106781958
FLIGHT_37;ARRIVAL;52;HEIGHT_REFINEMENT;0;-0.03244620320984897;-1.9502671811530592;0;-12803.761661998364;21.3;671.6424021838034;30/01/2023;15:08:33;144.2928070588437;3581.9069991698593;30872.926583811677;29.762753348395066;140.38942025565538;52253.84106781958
FLIGHT_37;ARRIVAL;53;VERTICAL_PROFILE;0;-0.025363475281671804;-1.5245405794295281;0;-10217;21.73;536;30/01/2023;15:08:44;144;3564;30872.663581020908;29.751290695714285;145.82057272504738;52253.84106781958
FLIGHT_37;ARRIVAL;54;TRACK2D;0;-0.02198866062499008;-1.3216881771058315;0;-8984.446489716964;21.93;471.3318572819221;30/01/2023;15:08:49;143.86733889132236;3555.8125080822906;30872.962616445682;29.748653306290375;148.4117952863347;52253.84106781958
FLIGHT_37;ARRIVAL;55;HEIGHT_REFINEMENT;0;-0.016752244372962986;-1.0069391540187485;0;-7071.996803047307;22.24;370.99173553719004;30/01/2023;15:08:57;143.66125729625466;3543.071211808247;30873.42659884696;29.743864404750152;152.4369598804675;52253.84106781958
FLIGHT_37;ARRIVAL;56;TRACK2D;0;-0.013839576852368167;-0.8318653606911448;0;-6008.2291766715225;22.42;315.179248608697;30/01/2023;15:09:02;143.54649986022218;3535.9642113682544;30873.684678151945;29.740830592713134;154.67804576449691;52253.84106781958
FLIGHT_37;ARRIVAL;57;HEIGHT_REFINEMENT;0;-0.010337166313455074;-0.6213434612630669;0;-4729.074958337585;22.63;248.06611570247935;30/01/2023;15:09:07;143.40838528329132;3527.399257838303;30873.995009266135;29.73682896559065;157.37486197830302;52253.84106781958
FLIGHT_37;ARRIVAL;58;TRACK2D;0;-0.007379030375960312;-0.4435366652267819;0;-3648.701306873553;22.8;191.3823637202361;30/01/2023;15:09:12;143.29163001114347;3520.1490646300613;30874.257112495012;29.733146234814832;159.65454436098523;52253.84106781958
FLIGHT_37;ARRIVAL;59;HEIGHT_REFINEMENT;0;-0.005251338662674029;-0.3156459751144185;0;-2871.6234057749207;22.93;150.61157024793388;30/01/2023;15:09:15;143.20759285584745;3514.9249879406975;30874.445633513027;29.7303246558162;161.29524062864255;52253.84106781958
FLIGHT_37;ARRIVAL;60;TRACK2D;0;-0.001946298733995751;-0.11698757235421167;0;-1664.5530981796003;23.13;87.28044971556574;30/01/2023;15:09:20;143.07695624944535;3506.794759776375;30874.738469468062;29.725653278533343;163.84540661554337;52253.84106781958
FLIGHT_37;ARRIVAL;61;HEIGHT_REFINEMENT;0;-0.000974619956335425;-0.0585821799439644;0;-1309.6755093017728;23.19;68.66115702479338;30/01/2023;15:09:22;143.03852650939768;3504.4008920716365;30874.824562448142;29.72421278907487;164.59546575909636;52253.84106781958
FLIGHT_37;ARRIVAL;62;VERTICAL_PROFILE;0;-0.000000756418728266;-0.000045466602406605;0;-954;23.25;50;30/01/2023;15:09:23;143;3502;30874.910848762112;29.72273833544517;165.34746969082153;52253.84106781958
FLIGHT_37;ARRIVAL;63;VERTICAL_PROFILE;0;0.002611359936151161;0.1569628824893643;0;0;23.4;0;30/01/2023;15:09:27;142;3502;30930.83335768799;29.745800319824298;167.31340046453363;52253.84106781958
FLIGHT_37;ARRIVAL;64;VERTICAL_PROFILE;0;0.003547779006768315;0.21324889442792366;0;342;23.46;0;30/01/2023;15:09:29;136;7720;68185.61779593126;65.16623171594395;168.4665816537682;52253.84106781958
FLIGHT_37;ARRIVAL;65;SPEED_REFINEMENT;0;0.005699850545566169;0.3426050001782875;0;1127.9819277108431;23.59;0;30/01/2023;15:09:32;118.33333333333333;6755;59662.41557143985;55.971773455237866;172.1633097782421;52253.84106781958
FLIGHT_37;ARRIVAL;66;SPEED_REFINEMENT;0;0.007552944911215173;0.45399027079164145;0;1804.771084337349;23.7;0;30/01/2023;15:09:36;100.66666666666666;5790;51139.21334694845;47.07693785059264;175.3080129515917;52253.84106781958
FLIGHT_37;ARRIVAL;67;SPEED_REFINEMENT;0;0.009107062103715327;0.5474047062679854;0;2372.3674698795176;23.79;0;30/01/2023;15:09:40;83;4825;42616.01112245704;38.481724902008345;177.91897814325858;52253.84106781958
FLIGHT_37;ARRIVAL;68;SPEED_REFINEMENT;0;0.010362202123066634;0.6228483066073196;0;2830.771084337349;23.87;0;30/01/2023;15:09:43;65.33333333333333;3860;34092.80889796563;30.186134609484906;180.01449232268433;52253.84106781958
FLIGHT_37;ARRIVAL;69;SPEED_REFINEMENT;0;0.011318364969269083;0.6803210718096436;0;3179.9819277108427;23.93;0;30/01/2023;15:09:47;47.66666666666666;2895;25569.606673474227;22.190166973022347;181.6128424593105;52253.84106781958
FLIGHT_37;ARRIVAL;70;VERTICAL_PROFILE;0;0.011975550642322693;0.7198230018749581;0;3420;23.97;0;30/01/2023;15:09:51;30;1930;17046.404448982816;14.493821992620683;182.73231552257872;52253.84106781958
FLIGHT_38;DEPARTURE;1;VERTICAL_PROFILE;0;0;0;0;0;0;0;30/01/2023;15:01:49;0;18792.84051111111;165984.6425376316;136.1753449946322;;54739.52725750406
FLIGHT_38;DEPARTURE;2;SPEED_REFINEMENT;0;0.000173836267685348;0.01044890107998714;0;63.48867234112066;0.01;0;30/01/2023;15:01:53;18.409416324182825;18589.51918596204;164188.8407026087;137.70931193722652;9.328054940670889;54739.52725750406
FLIGHT_38;DEPARTURE;3;SPEED_REFINEMENT;0;0.000695345070741394;0.04179560431994856;0;253.95468936448265;0.04;0;30/01/2023;15:01:57;36.81883264836565;18386.197860812972;162393.03886758583;139.17749557735814;18.756050736542498;54739.52725750406
FLIGHT_38;DEPARTURE;4;SPEED_REFINEMENT;0;0.001564526409168136;0.09404010971988427;0;571.398051070086;0.09;0;30/01/2023;15:02:02;55.22824897254847;18182.876535663905;160597.23703256293;140.57989591502692;28.284121228453976;54739.52725750406
FLIGHT_38;DEPARTURE;5;SPEED_REFINEMENT;0;0.002781380282965575;0.16718241727979424;0;1015.8187574579306;0.17;0;30/01/2023;15:02:06;73.6376652967313;17979.555210514834;158801.43519754004;141.91651295023289;37.90312395031607;54739.52725750406
FLIGHT_38;DEPARTURE;6;SPEED_REFINEMENT;0;0.004345906692133711;0.2612225269996785;0;1587.2168085280166;0.26;0;30/01/2023;15:02:10;92.04708162091413;17776.233885365764;157005.63336251714;143.1873466829761;47.61328623632378;54739.52725750406
FLIGHT_38;DEPARTURE;7;SPEED_REFINEMENT;0;0.006258105636672544;0.3761604388795371;0;2285.592204280344;0.38;0;30/01/2023;15:02:14;110.45649794509694;17572.912560216697;155209.83152749424;144.39239711325658;57.40777301045047;54739.52725750406
FLIGHT_38;DEPARTURE;8;SPEED_REFINEMENT;0;0.008517977116582075;0.51199615291937;0;3110.9449447149127;0.51;0;30/01/2023;15:02:18;128.86591426927978;17369.59123506763;153414.02969247138;145.53166424107425;67.27968729956544;54739.52725750406
FLIGHT_38;DEPARTURE;9;VERTICAL_PROFILE;0;0.011125521131862302;0.668729669119177;0;4063.2750298317223;0.67;0;30/01/2023;15:02:22;147.2753305934626;17166.26990991856;151618.22785744848;146.60514806642908;77.22938023207182;54739.52725750406
FLIGHT_38;DEPARTURE;10;HEIGHT_REFINEMENT;0;0.011905051163887313;0.715585439218037;0;4347.975843087107;0.72;56.414922656960876;30/01/2023;15:02:23;147.39950613484513;17171.744508668813;151363.40682793912;146.3714680587391;80.1591463933235;54739.52725750406
FLIGHT_38;DEPARTURE;11;TRACK2D;0;0.012126944584277342;0.7289229460043198;0;4429.016001446308;0.73;72.47344463189143;30/01/2023;15:02:23;147.43483361181757;17173.30253549203;151290.79348381638;146.30498913820182;80.99083532585814;54739.52725750406
FLIGHT_38;DEPARTURE;12;HEIGHT_REFINEMENT;0;0.012835457976304265;0.7715100680457087;0;4687.780039553211;0.77;123.74886260236579;30/01/2023;15:02:25;147.5475788485168;17178.276423250143;151058.70289358535;146.09283289446563;83.64921885783848;54739.52725750406
FLIGHT_38;DEPARTURE;13;HEIGHT_REFINEMENT;0;0.013941887699178483;0.838015032056994;0;5091.871516431822;0.84;203.82165605095543;30/01/2023;15:02:26;147.7234721199813;17186.04087391625;150695.55029771407;145.76187042175346;87.78382715481825;54739.52725750406
FLIGHT_38;DEPARTURE;14;HEIGHT_REFINEMENT;0;0.015337497917803908;0.9219019752985014;0;5601.577811130977;0.92;304.82256596906274;30/01/2023;15:02:28;147.94503924794992;17195.829669539395;150236.23088166612;145.34500749930768;92.97765903505986;54739.52725750406
FLIGHT_38;DEPARTURE;15;TRACK2D;0;0.016224951687518283;0.9752447948164147;0;5925.694650231965;0.98;369.04797579709395;30/01/2023;15:02:30;148.08575901404754;17202.05136385593;149943.42270146395;145.08027799661753;96.26914560401367;54739.52725750406
FLIGHT_38;DEPARTURE;16;HEIGHT_REFINEMENT;0;0.017210884607670476;1.0345069711812458;0;6285.778152664079;1.03;440.400363967243;30/01/2023;15:02:31;148.24193756354356;17208.960830770135;149617.45017425035;144.78649066731384;99.91663577636814;54739.52725750406
FLIGHT_38;DEPARTURE;17;TRACK2D;0;0.01851712279054509;1.1130219654427649;0;6762.843894446438;1.11;534.9333813379912;30/01/2023;15:02:33;148.44860161497277;17218.11074268764;149184.48028496097;144.39777635462625;104.7291439533916;54739.52725750406
FLIGHT_38;DEPARTURE;18;HEIGHT_REFINEMENT;0;0.01998953197988867;1.20152511943686;0;7300.598793461499;1.2;641.4922656960873;30/01/2023;15:02:36;148.6812117060949;17228.4188199841;148694.9193354994;143.96032013110752;110.13105229422435;54739.52725750406
FLIGHT_38;DEPARTURE;19;TRACK2D;0;0.02008764948586271;1.207422738660907;0;7336.433376604924;1.21;648.5930716732987;30/01/2023;15:02:36;148.69669930370063;17229.10550417693;148662.2389762751;143.93119587416848;110.49091668923094;54739.52725750406
FLIGHT_38;DEPARTURE;20;TRACK2D;0;0.02219587738313028;1.3341435032397408;0;8106.402681470021;1.33;801.1664285440199;30/01/2023;15:02:39;149.0290888559939;17243.853520645698;147958.29993025496;143.30621628288694;118.1793047546348;54739.52725750406
FLIGHT_38;DEPARTURE;21;VERTICAL_PROFILE;0;0.02494331960275731;1.4992859810328416;0;9109.82654221346;1.5;1000;30/01/2023;15:02:43;149.46114948865062;17263.054224363008;147035.86900366365;142.49405998798;128.12277269989204;54739.52725750406
FLIGHT_38;DEPARTURE;22;TRACK2D;0;0.025322829739087636;1.5220974686825057;0;9248.43165043646;1.52;1020.660465298066;30/01/2023;15:02:44;149.50691834435165;16967.58393767832;144434.5884098813;139.95633945246084;129.4667658505628;54739.52725750406
FLIGHT_38;DEPARTURE;23;VERTICAL_PROFILE;0;0.027681387060702202;1.663864963309331;0;10109.82654221346;1.66;1149.0599124588223;30/01/2023;15:02:47;149.79104642085096;15001.405365676994;127080.11474897913;123.19643175886935;137.23854436033741;54739.52725750406
FLIGHT_38;DEPARTURE;24;TRACK2D;0;0.03089755743122597;1.8571816198704105;0;11284.4398123108;1.86;1234.8609408424954;30/01/2023;15:02:52;158.05112780631836;14955.120516399036;126244.05870314775;123.47033064542272;146.80715918527056;54739.52725750406
FLIGHT_38;DEPARTURE;25;TRACK2D;0;0.033237042297210785;1.9978027127429807;0;12138.869040924752;2;1297.2737437304368;30/01/2023;15:02:55;163.79812691498591;14921.362103017591;125632.40496770918;123.63010808909326;153.46651600916576;54739.52725750406
FLIGHT_38;DEPARTURE;26;TRACK2D;-0.000035090476256518;0.0336340891008301;2.0216682894168465;-0.002095088552915767;12284.436601662397;2.02;1307.9068999602805;30/01/2023;15:02:56;164.7572482884234;14915.603125895173;125527.90149477811;123.65429545142005;154.57929582509806;54739.52725750406
FLIGHT_38;DEPARTURE;27;SPEED_REFINEMENT;-0.000152851973880769;0.03496713876596612;2.1017948606506938;-0.009126077925736232;12773.165223644914;2.1;1343.606665520702;30/01/2023;15:02:57;167.93733951800152;14896.251646413913;125176.40329442664;123.72939685885204;158.26531284052112;54739.52725750406
FLIGHT_38;DEPARTURE;28;SPEED_REFINEMENT;-0.000867899513627242;0.043061413232963676;2.588323214866225;-0.05181822904851154;15740.724279893839;2.59;1560.375558991776;30/01/2023;15:03:08;186.08363261515206;14791.097927150833;123272.69183987414;124.1148256724342;179.3093527019484;54739.52725750406
FLIGHT_38;DEPARTURE;29;TRACK2D;-0.001320372201639595;0.044742418749017104;2.689364617710583;-0.07883326133909288;16376.244429022361;2.7;1606.7978868693197;30/01/2023;15:03:10;189.74427947056978;14770.731139021103;122905.21684853164;124.18175791621395;183.55729341951084;54739.52725750406
FLIGHT_38;DEPARTURE;30;SPEED_REFINEMENT;-0.003199371063281482;0.051715200975818484;3.108482634395204;-0.19101951316394422;19012.503710960234;3.13;1799.3665928720434;30/01/2023;15:03:18;204.22992571230262;14685.944207887755;121368.98038532166;124.35225754290437;200.35819286454725;54739.52725750406
FLIGHT_38;DEPARTURE;31;TRACK2D;-0.003436551197879087;0.05259535341275366;3.1613865874730025;-0.20518043196544278;19345.270453978825;3.18;1823.673936820673;30/01/2023;15:03:19;205.98600827917667;14676.190860199655;121193.0912929564;124.37095783999179;202.39565053722546;54739.52725750406
FLIGHT_38;DEPARTURE;32;TRACK2D;-0.005165990695391992;0.05627914604491308;3.382810950323974;-0.308437192224622;20829.76630810209;3.43;1932.1107084438304;30/01/2023;15:03:23;213.6442614953518;14632.601299696447;120405.30789938077;124.42739489628164;211.27982504951657;54739.52725750406
FLIGHT_38;DEPARTURE;33;VERTICAL_PROFILE;-0.00721492660105998;0.060643469319571576;3.645140456043313;-0.43076959176923524;22588.503516844095;3.72;2060.5797671615046;30/01/2023;15:03:28;222.37621880945318;14580.790488624674;119465.26893076916;124.4416407168539;221.39220352993033;54739.52725750406
FLIGHT_38;DEPARTURE;34;TRACK2D;-0.007632743672016711;0.06153343799174028;3.698634440604752;-0.45571549892008645;22947.143544141403;3.78;2115.423598520013;30/01/2023;15:03:29;222.5609647924993;14591.632100175631;119314.96034891049;124.3055987890507;223.43193089387876;54739.52725750406
FLIGHT_38;DEPARTURE;35;TRACK2D;-0.011870421744556584;0.06754674893333547;4.06008082937365;-0.7087274773218144;25627.93094128942;4.22;2525.3740801357158;30/01/2023;15:03:36;223.93708936355654;14672.417991590815;118185.3685228749;123.28541418179536;238.5556152695146;54739.52725750406
FLIGHT_38;DEPARTURE;36;TRACK2D;-0.013330163504682392;0.06961812247589153;4.184586362850972;-0.7958818444924406;26551.36996687691;4.37;2666.587916669365;30/01/2023;15:03:39;224.40916286955473;14700.143146909932;117793.75468944038;122.93270221416583;243.7159366256466;54739.52725750406
FLIGHT_38;DEPARTURE;37;VERTICAL_PROFILE;-0.017579866320124527;0.07383937616551631;4.438316282526056;-1.0496117641675249;28731.650149807658;4.73;3000;30/01/2023;15:03:45;225.51982835546474;14765.396898;116863.93035323446;122.09744991325122;255.79388120759387;54739.52725750406
FLIGHT_38;DEPARTURE;38;TRACK2D;-0.02010317672582359;0.0763457945723332;4.588971369330454;-1.2002668509719223;30026.216831726622;4.94;3101.6997412754386;30/01/2023;15:03:48;230.74341233988991;14747.197642038933;116267.74623368187;122.09373039746988;262.7797838909831;54739.52725750406
FLIGHT_38;DEPARTURE;39;TRACK2D;-0.02034792797380601;0.07658890736243981;4.603584323974082;-1.214879805615551;30151.78474056594;4.96;3111.5642187255507;30/01/2023;15:03:48;231.24380201759928;14745.43119030459;116209.75598167714;122.092446858935;263.4492609936277;54739.52725750406
FLIGHT_38;DEPARTURE;40;SPEED_REFINEMENT;-0.024984108600785728;0.079812508352703;4.7973476181192165;-1.491684511537172;32204.800253721023;5.3;3272.8468698539095;30/01/2023;15:03:54;239.27671936562538;14716.519909914103;115257.4862973345;122.04963454098511;274.1833745058442;54739.52725750406
FLIGHT_38;DEPARTURE;41;TRACK2D;-0.028487099163328415;0.0822481865013457;4.943750669546437;-1.7008317278617713;33756.01116329706;5.56;3394.7083006870225;30/01/2023;15:03:58;245.17170752982;14695.929840906241;114582.84552858338;122.00233272696934;282.0540504502357;54739.52725750406
FLIGHT_38;DEPARTURE;42;SPEED_REFINEMENT;-0.03380217319055398;0.08471018267648954;5.0917356374470835;-2.0181699899855814;35883.54460172131;5.91;3561.8449984443455;30/01/2023;15:04:03;253.033610375786;14667.642921828205;113651.04224143454;121.90466847263635;292.54001894347545;54739.52725750406
FLIGHT_38;DEPARTURE;43;TRACK2D;-0.03748539436972975;0.08641628806822817;5.19428573650108;-2.2380779352051836;37357.875190471226;6.15;3677.6667954398263;30/01/2023;15:04:06;258.3414158547383;14649.110487094607;113043.99209882191;121.8255507781077;299.6122574720679;54739.52725750406
FLIGHT_38;DEPARTURE;44;VERTICAL_PROFILE;-0.04390271690932032;0.08812251048139808;5.296842869446083;-2.6212263112711045;39767.88319380852;6.54;3866.9943857713074;30/01/2023;15:04:12;266.79050138594664;14618.765933742307;112044.59818553457;121.66294907552907;310.8492517403132;54739.52725750406
