59, 'LNF', 'LDV', 2001, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.005, 0.899, 0.151, 0.778, 0.074
60, 'LNF', 'LDV', 2001, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.007, 1.35, 0.239, 0.995, 0.095
61, 'LNF', 'LDV', 2001, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.007, 1.35, 0.239, 0.995, 0.095
62, 'LNF', 'LDV', 2001, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.024, 4.4, 0.615, 1.357, 0.264
63, 'PKW', 'PC', 2002, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.031, 6.583, 0.555, 0.431, 0.023
64, 'PKW', 'PC', 2002, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.01, 2.18, 0.192, 0.337, 0.009
65, 'PKW', 'PC', 2002, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.006, 1.255, 0.107, 0.289, 0.008
66, 'PKW', 'PC', 2002, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.002, 0.573, 0.043, 0.215, 0.005
67, 'PKW', 'PC', 2002, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.006, 1.429, 0.122, 0.296, 0.008
68, 'PKW', 'PC', 2002, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.01, 2.18, 0.192, 0.337, 0.009
69, 'PKW', 'PC', 2002, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.01, 2.18, 0.192, 0.337, 0.009
70, 'PKW', 'PC', 2002, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.031, 6.583, 0.555, 0.431, 0.023
71, 'LKW', 'HDV', 2002, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.131, 6.068, 6.883, 15.292, 1.122
72, 'LKW', 'HDV', 2002, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.046, 2.274, 2.41, 6.577, 0.421
73, 'LKW', 'HDV', 2002, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.022, 1.212, 1.142, 3.914, 0.218
74, 'LKW', 'HDV', 2002, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.011, 0.945, 0.599, 3.773, 0.162
75, 'LKW', 'HDV', 2002, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.024, 1.311, 1.278, 4.31, 0.24
76, 'LKW', 'HDV', 2002, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.046, 2.274, 2.41, 6.577, 0.421
77, 'LKW', 'HDV', 2002, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.046, 2.274, 2.41, 6.577, 0.421
78, 'LKW', 'HDV', 2002, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.131, 6.068, 6.883, 15.292, 1.122
79, 'LNF', 'LDV', 2002, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.02, 3.749, 0.512, 1.3, 0.237
80, 'LNF', 'LDV', 2002, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.006, 1.134, 0.197, 0.943, 0.085
81, 'LNF', 'LDV', 2002, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.003, 0.681, 0.111, 0.694, 0.068
82, 'LNF', 'LDV', 2002, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.002, 0.493, 0.061, 0.698, 0.06
83, 'LNF', 'LDV', 2002, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.004, 0.763, 0.126, 0.732, 0.067
84, 'LNF', 'LDV', 2002, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.006, 1.134, 0.197, 0.943, 0.085
85, 'LNF', 'LDV', 2002, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.006, 1.134, 0.197, 0.943, 0.085
86, 'LNF', 'LDV', 2002, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.02, 3.749, 0.512, 1.3, 0.237
87, 'PKW', 'PC', 2003, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.025, 5.868, 0.46, 0.398, 0.021
88, 'PKW', 'PC', 2003, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.008, 1.979, 0.159, 0.305, 0.008
89, 'PKW', 'PC', 2003, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.005, 1.133, 0.089, 0.258, 0.007
90, 'PKW', 'PC', 2003, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.002, 0.529, 0.037, 0.192, 0.005
91, 'PKW', 'PC', 2003, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.005, 1.292, 0.101, 0.265, 0.007
92, 'PKW', 'PC', 2003, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.008, 1.979, 0.159, 0.305, 0.008
93, 'PKW', 'PC', 2003, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.008, 1.979, 0.159, 0.305, 0.008
94, 'PKW', 'PC', 2003, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.025, 5.868, 0.46, 0.398, 0.021
95, 'LKW', 'HDV', 2003, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.123, 5.499, 6.488, 14.288, 0.998
96, 'LKW', 'HDV', 2003, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.043, 2.061, 2.272, 6.146, 0.374
97, 'LKW', 'HDV', 2003, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.02, 1.099, 1.077, 3.658, 0.194
98, 'LKW', 'HDV', 2003, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.011, 0.857, 0.564, 3.53, 0.144
99, 'LKW', 'HDV', 2003, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.023, 1.188, 1.205, 4.028, 0.214
