'707', NULL, 'B701', 'B703', 'JT3C', NULL, 'B707-120/JT3C', 'INM 6.1 aircraft.dbf'
'A33034', NULL, 'A333', 'A333', 'TRENT-772B', NULL, 'Airbus A330-343/RR TRENT 772B', 'INM 6.1 aircraft.dbf'
'A340', NULL, 'A342', 'A343', 'CFM56-5C2', '1CM010', 'Airbus A340-211/CFM 56-5C2', 'INM 6.1 aircraft.dbf'
'A37', NULL, 'A37', NULL, 'J85-GE-17A', NULL, 'CESSNA DRAGONFLY J85-GE-17A', 'INM 6.1 aircraft.dbf'
'A4C', NULL, 'A4', 'FGTN', 'J52-P-8B', 'J52P8B', 'MCDONNELL DOUGLAS SKYHAWK J52-P-8A', 'INM 6.1 aircraft.dbf'
'A5C', NULL, '????', NULL, 'J79-GE-10', 'J7910', 'J79-GE-10', 'INM 6.1 aircraft.dbf'
'A6A', NULL, 'A6', 'FGTN', 'J52-P-8B', 'J52P8B', 'GRUMMAN INTRUDER J52-P-8B', 'INM 6.1 aircraft.dbf'
'A7D', NULL, 'A7', 'FGTN', 'TF41-A-1', NULL, 'A-7D/E/TF-41-A-1', 'INM 6.1 aircraft.dbf'
'A7', NULL, 'A7', 'FGTN', 'TF41-A-2', 'TF41A2', 'VOUGHT CORSAIR II TF41-A-2', 'INM 6.1 aircraft.dbf'
'AA5A', 'GASEPF', 'AA5', 'P28A', NULL, NULL, 'Grumman Cheetah (AA5A)', 'INM 6.1 acft_sub.dbf'
'AC50', 'BEC58P', 'AC50', NULL, NULL, NULL, 'Commander 500', 'INM 6.1 acft_sub.dbf'
'AC56', 'BEC58P', 'AC56', NULL, NULL, NULL, 'Commander 560', 'INM 6.1 acft_sub.dbf'
'AC69', 'CNA441', 'AC90', 'BE20', NULL, NULL, 'Jet Prop Commander', 'INM 6.1 acft_sub.dbf'
'AC95', 'CNA441', 'AC95', 'BE20', NULL, NULL, 'Aero Commander 695', 'INM 6.1 acft_sub.dbf'
'AEROJT', 'LEAR25', 'JCOM', NULL, NULL, NULL, 'Aero Commander Jet Commander', 'INM 6.1 acft_sub.dbf'
'AN124', '74720B', 'A124', 'B732', NULL, NULL, 'Antonov-124', 'INM 6.1 acft_sub.dbf'
'AN26', 'CVR580', 'AN26', 'F27', NULL, NULL, 'Antonov-26', 'INM 6.1 acft_sub.dbf'
'AN74TK', 'DC9Q9', 'AN72', 'F28', NULL, NULL, 'Antonov-74', 'INM 6.1 acft_sub.dbf'
'ATR42', 'DHC8', 'AT43', 'AT43', NULL, NULL, 'Avions de Transport Regional ATR-42', 'INM 6.1 acft_sub.dbf'
'ATR72', 'HS748A', 'AT72', 'AT72', NULL, NULL, 'Avions de Transport Regional ATR-72', 'INM 6.1 acft_sub.dbf'
'AV8A', NULL, 'HAR', 'FGTN', NULL, NULL, 'BAE HARRIER AV8A', 'INM 6.1 aircraft.dbf'
'AV8B', NULL, 'HAR', 'FGTN', 'F402-RR-408', 'F40208', 'BAE HARRIER F402-RR-408', 'INM 6.1 aircraft.dbf'
'B1', NULL, 'B1', 'FGTL', 'F101-GE-102', 'F1012', 'ROCKWELL LANCER F101-GE-102', 'INM 6.1 aircraft.dbf'
'B2A', NULL, 'B2', NULL, 'F118-GE-110', NULL, 'F118-GE-110', 'INM 6.1 aircraft.dbf'
'B52BD', NULL, 'B52', 'FGTL', 'J57-P-19W', NULL, 'BOEING STRATOFORTRESS J57P-19W', 'INM 6.1 aircraft.dbf'
'B52G', NULL, 'B52', 'FGTL', 'J57-P-43WB', NULL, 'BOEING STRATOFORTRESS J57-P-43WB', 'INM 6.1 aircraft.dbf'
'B52H', NULL, 'B52', 'FGTL', NULL, NULL, 'BOEING STRATOFORTRESS B52H', 'INM 6.1 aircraft.dbf'
'B57', NULL, 'CNBR', NULL, 'J57-PW-P-5', NULL, 'ENGLISH ELECTRIC CANBERRA J57-PW-P-5', 'INM 6.1 aircraft.dbf'
'BAC111', NULL, 'BA11', 'BA11', 'SPEY MK511-14', NULL, 'BAC111/SPEY MK511-14', 'INM 6.1 aircraft.dbf'
'BAE146', NULL, 'BA46', NULL, 'ALF502R-5', '1TL003', 'BAE146-200/ALF502R-5', 'INM 6.1 aircraft.dbf'
'BAE300', NULL, 'BA46', NULL, 'ALF502R-5', '1TL003', 'BAE146-300/ALF502R-5', 'INM 6.1 aircraft.dbf'
'BAEATP', 'HS748A', 'ATP', 'ATP', NULL, NULL, 'British Aerospace Advanced Turboprop ATP', 'INM 6.1 acft_sub.dbf'
'BAEJ31', 'DHC6', 'JS31', 'JS31', NULL, NULL, 'British Aerospace BAe Jetsream 31', 'INM 6.1 acft_sub.dbf'
'BAEJ41', 'SF340', 'JS41', 'JS41', NULL, NULL, 'British Aerospace Bae Jetstream 41', 'INM 6.1 acft_sub.dbf'
'BEC100', 'CNA441', 'BA10', NULL, NULL, NULL, 'Beech King Air 100', 'INM 6.1 acft_sub.dbf'
'BEC18', 'BEC58P', 'BE18', NULL, NULL, NULL, 'Beechcraft Model 18', 'INM 6.1 acft_sub.dbf'
'BEC190', 'DHC6', 'B190', 'JS31', NULL, NULL, 'Beech 1900', 'INM 6.1 acft_sub.dbf'
'BEC200', 'DHC6', 'BE20', 'BE20', NULL, NULL, 'Beech Super King Air 200', 'INM 6.1 acft_sub.dbf'
'BEC20A', 'SD330', 'STAR', NULL, NULL, NULL, 'Beech Starship 2000', 'INM 6.1 acft_sub.dbf'
'BEC23', 'GASEPF', 'BE23', NULL, NULL, NULL, 'Beechcraft Model 23 Musketeer', 'INM 6.1 acft_sub.dbf'
'BEC24', 'GASEPF', 'BE24', NULL, NULL, NULL, 'Beechcraft Model 24 Sierra', 'INM 6.1 acft_sub.dbf'
'BEC300', 'DHC6', 'BE30', 'BE20', NULL, NULL, 'Beech Super King Air 300', 'INM 6.1 acft_sub.dbf'
'BEC30B', 'DHC6', 'B350', 'BE20', NULL, NULL, 'Beech Super King Air 300B', 'INM 6.1 acft_sub.dbf'
'BEC33', 'GASEPV', 'BE33', 'PA34', NULL, NULL, 'Beechcraft Model 33 Debonair/Bonanza', 'INM 6.1 acft_sub.dbf'
'BEC400', 'LEAR35', 'BE40', 'FA10', NULL, NULL, 'Beechcraft Beechjet 400', 'INM 6.1 acft_sub.dbf'
'BEC45', 'GASEPV', 'T34P', NULL, NULL, NULL, 'Beechcraft Model 45 Mentor (T34A & T34B)', 'INM 6.1 acft_sub.dbf'
