oid;profile_id;arrival_departure;stage;point;weight_lbs;horizontal_feet;vertical_feet;tas_knots;weight_kgs;horizontal_metres;vertical_metres;tas_metres;power;mode;course
6559;A310-304-D-4;D;4;4;280700;11548.1;1199.1;195.2;127323.2744;3519.86088;365.48568;100.4194688;0.789834953;CL;ANP2.2
6560;A310-304-D-4;D;4;5;280700;12548.1;1384.6;195.7;127323.2744;3824.66088;422.02608;100.6766908;0.64956729;CL;ANP2.2
6561;A310-304-D-4;D;4;6;280700;21259;3000;200.5;127323.2744;6479.7432;914.4;103.146022;0.693212523;CL;ANP2.2
6562;A310-304-D-4;D;4;7;280700;31324.2;3553.2;262.1;127323.2744;9547.61616;1083.01536;134.8357724;0.654193832;CL;ANP2.2
6563;A310-304-D-4;D;4;8;280700;43749.6;5500;269.9;127323.2744;13334.87808;1676.4;138.8484356;0.699468411;CL;ANP2.2
6564;A310-304-D-4;D;4;9;280700;56744.3;7500;278.3;127323.2744;17295.66264;2286;143.1697652;0.739621869;CL;ANP2.2
6565;A310-304-D-4;D;4;10;280700;73684.3;10000;289.3;127323.2744;22458.97464;3048;148.8286492;0.780750467;CL;ANP2.2
6566;A310-304-D-5;D;5;1;304400;0;0;0;138073.4048;0;0;0;0.946236449;TO;ANP2.2
6567;A310-304-D-5;D;5;2;304400;5368.2;0;172.2;138073.4048;1636.22736;0;88.5872568;0.780748037;TO;ANP2.2
6568;A310-304-D-5;D;5;3;304400;10196.8;1000;174.7;138073.4048;3107.98464;304.8;89.8733668;0.804099252;TO;ANP2.2
6569;A310-304-D-5;D;5;4;304400;13582.7;1213.7;203.5;138073.4048;4140.00696;369.93576;104.689354;0.782426729;CL;ANP2.2
6570;A310-304-D-5;D;5;5;304400;14582.7;1367.3;203.9;138073.4048;4444.80696;416.75304;104.8951316;0.641572523;CL;ANP2.2
6571;A310-304-D-5;D;5;6;304400;25216.2;3000;208.9;138073.4048;7685.89776;914.4;107.4673516;0.685707477;CL;ANP2.2
6572;A310-304-D-5;D;5;7;304400;35094.7;3484.5;261.9;138073.4048;10696.86456;1062.0756;134.7328836;0.65248486;CL;ANP2.2
6573;A310-304-D-5;D;5;8;304400;49488.1;5500;269.9;138073.4048;15083.97288;1676.4;138.8484356;0.699468411;CL;ANP2.2
6574;A310-304-D-5;D;5;9;304400;64036.4;7500;278.3;138073.4048;19518.29472;2286;143.1697652;0.739621869;CL;ANP2.2
6575;A310-304-D-5;D;5;10;304400;83022.3;10000;289.3;138073.4048;25305.19704;3048;148.8286492;0.780750467;CL;ANP2.2
6576;A310-304-D-6;D;6;1;346100;0;0;0;156988.1912;0;0;0;0.946236449;TO;ANP2.2
6577;A310-304-D-6;D;6;2;346100;7038.5;0;183.6;156988.1912;2145.3348;0;94.4519184;0.769776449;TO;ANP2.2
6578;A310-304-D-6;D;6;3;346100;12970;1000;186.3;156988.1912;3953.256;304.8;95.8409172;0.79312785;TO;ANP2.2
